'Elapsed time','ECG I'
'hh:mm:ss.mmm','mV'
'0:00.000',1.195
'0:00.002',1.225
'0:00.004',1.240
'0:00.006',1.340
'0:00.008',1.360
'0:00.010',1.545
'0:00.012',1.580
'0:00.014',1.500
'0:00.016',1.425
'0:00.018',1.360
'0:00.020',1.255
'0:00.022',1.285
'0:00.024',1.325
'0:00.026',1.400
'0:00.028',1.395
'0:00.030',1.525
'0:00.032',1.485
'0:00.034',1.470
'0:00.036',1.400
'0:00.038',1.345
'0:00.040',1.270
'0:00.042',1.270
'0:00.044',1.285
'0:00.046',1.345
'0:00.048',1.375
'0:00.050',1.505
'0:00.052',1.525
'0:00.054',1.535
'0:00.056',1.445
'0:00.058',1.405
'0:00.060',1.240
'0:00.062',1.270
'0:00.064',1.295
'0:00.066',1.355
'0:00.068',1.410
'0:00.070',1.555
'0:00.072',1.485
'0:00.074',1.480
'0:00.076',1.435
'0:00.078',1.380
'0:00.080',1.235
'0:00.082',1.250
'0:00.084',1.315
'0:00.086',1.360
'0:00.088',1.390
'0:00.090',1.500
'0:00.092',1.485
'0:00.094',1.420
'0:00.096',1.345
'0:00.098',1.325
'0:00.100',1.270
'0:00.102',1.240
'0:00.104',1.305
'0:00.106',1.340
'0:00.108',1.375
'0:00.110',1.505
'0:00.112',1.515
'0:00.114',1.485
'0:00.116',1.390
'0:00.118',1.355
'0:00.120',1.200
'0:00.122',1.205
'0:00.124',1.315
'0:00.126',1.405
'0:00.128',1.415
'0:00.130',1.515
'0:00.132',1.495
'0:00.134',1.400
'0:00.136',1.345
'0:00.138',1.320
'0:00.140',1.290
'0:00.142',1.340
'0:00.144',1.370
'0:00.146',1.445
'0:00.148',1.490
'0:00.150',1.565
'0:00.152',1.570
'0:00.154',1.495
'0:00.156',1.430
'0:00.158',1.375
'0:00.160',1.325
'0:00.162',1.285
'0:00.164',1.345
'0:00.166',1.415
'0:00.168',1.450
'0:00.170',1.585
'0:00.172',1.595
'0:00.174',1.510
'0:00.176',1.480
'0:00.178',1.405
'0:00.180',1.290
'0:00.182',1.255
'0:00.184',1.325
'0:00.186',1.420
'0:00.188',1.550
'0:00.190',1.675
'0:00.192',1.650
'0:00.194',1.590
'0:00.196',1.510
'0:00.198',1.400
'0:00.200',1.350
'0:00.202',1.325
'0:00.204',1.335
'0:00.206',1.380
'0:00.208',1.485
'0:00.210',1.555
'0:00.212',1.600
'0:00.214',1.485
'0:00.216',1.395
'0:00.218',1.300
'0:00.220',1.290
'0:00.222',1.275
'0:00.224',1.335
'0:00.226',1.400
'0:00.228',1.530
'0:00.230',1.560
'0:00.232',1.545
'0:00.234',1.455
'0:00.236',1.385
'0:00.238',1.265
'0:00.240',1.255
'0:00.242',1.215
'0:00.244',1.255
'0:00.246',1.320
'0:00.248',1.440
'0:00.250',1.460
'0:00.252',1.450
'0:00.254',1.335
'0:00.256',1.285
'0:00.258',1.170
'0:00.260',1.185
'0:00.262',1.190
'0:00.264',1.305
'0:00.266',1.345
'0:00.268',1.410
'0:00.270',1.390
'0:00.272',1.350
'0:00.274',1.320
'0:00.276',1.300
'0:00.278',1.160
'0:00.280',1.215
