'Elapsed time','V5'
'hh:mm:ss.mmm','mV'
'0:00.000',2.755
'0:00.004',2.750
'0:00.008',2.750
'0:00.012',2.740
'0:00.016',2.745
'0:00.020',2.725
'0:00.024',2.720
'0:00.028',2.705
'0:00.032',2.700
'0:00.036',2.700
'0:00.040',2.700
'0:00.044',2.710
'0:00.048',2.725
'0:00.052',2.720
'0:00.056',2.730
'0:00.060',2.750
'0:00.064',2.735
'0:00.068',2.800
'0:00.072',2.775
'0:00.076',2.780
'0:00.080',2.755
'0:00.084',2.780
'0:00.088',2.780
'0:00.092',2.775
'0:00.096',2.775
'0:00.100',2.785
'0:00.104',2.780
'0:00.108',2.780
'0:00.112',2.780
'0:00.116',2.770
'0:00.120',2.775
'0:00.124',2.775
'0:00.128',2.775
'0:00.132',2.770
'0:00.136',2.775
'0:00.140',2.780
'0:00.144',2.825
'0:00.148',2.850
'0:00.152',2.835
'0:00.156',2.785
'0:00.160',2.680
'0:00.164',2.520
'0:00.168',2.330
'0:00.172',2.200
'0:00.176',2.065
'0:00.180',2.030
'0:00.184',2.010
'0:00.188',2.140
'0:00.192',2.450
'0:00.196',2.700
'0:00.200',2.805
'0:00.204',2.840
'0:00.208',2.815
'0:00.212',2.790
'0:00.216',2.775
'0:00.220',2.765
'0:00.224',2.765
'0:00.228',2.780
'0:00.232',2.775
'0:00.236',2.775
'0:00.240',2.775
'0:00.244',2.760
'0:00.248',2.770
'0:00.252',2.780
'0:00.256',2.775
'0:00.260',2.770
'0:00.264',2.760
'0:00.268',2.765
'0:00.272',2.770
'0:00.276',2.765
'0:00.280',2.750
'0:00.284',2.750
'0:00.288',2.755
'0:00.292',2.750
'0:00.296',2.750
'0:00.300',2.740
'0:00.304',2.725
'0:00.308',2.730
'0:00.312',2.725
'0:00.316',2.725
'0:00.320',2.730
'0:00.324',2.720
'0:00.328',2.715
'0:00.332',2.715
'0:00.336',2.710
'0:00.340',2.710
'0:00.344',2.700
'0:00.348',2.680
'0:00.352',2.675
'0:00.356',2.675
'0:00.360',2.650
'0:00.364',2.640
'0:00.368',2.645
'0:00.372',2.625
'0:00.376',2.605
'0:00.380',2.590
'0:00.384',2.575
'0:00.388',2.550
'0:00.392',2.525
'0:00.396',2.500
'0:00.400',2.485
'0:00.404',2.480
'0:00.408',2.465
'0:00.412',2.450
'0:00.416',2.435
'0:00.420',2.405
'0:00.424',2.400
'0:00.428',2.395
'0:00.432',2.380
'0:00.436',2.380
'0:00.440',2.410
'0:00.444',2.440
'0:00.448',2.475
'0:00.452',2.515
'0:00.456',2.535
'0:00.460',2.590
'0:00.464',2.620
'0:00.468',2.645
'0:00.472',2.670
'0:00.476',2.685
'0:00.480',2.700
'0:00.484',2.720
'0:00.488',2.720
'0:00.492',2.735
'0:00.496',2.750
'0:00.500',2.740
'0:00.504',2.750
'0:00.508',2.750
'0:00.512',2.755
'0:00.516',2.765
'0:00.520',2.770
'0:00.524',2.755
'0:00.528',2.755
'0:00.532',2.765
'0:00.536',2.760
'0:00.540',2.770
'0:00.544',2.775
'0:00.548',2.765
'0:00.552',2.775
'0:00.556',2.775
'0:00.560',2.770
'0:00.564',2.780
'0:00.568',2.770
'0:00.572',2.755
'0:00.576',2.765
'0:00.580',2.775
'0:00.584',2.770
'0:00.588',2.775
'0:00.592',2.765
'0:00.596',2.755
'0:00.600',2.770
'0:00.604',2.775
'0:00.608',2.765
'0:00.612',2.775
'0:00.616',2.775
'0:00.620',2.770
'0:00.624',2.775
'0:00.628',2.775
'0:00.632',2.755
'0:00.636',2.755
'0:00.640',2.755
'0:00.644',2.750
'0:00.648',2.765
'0:00.652',2.770
'0:00.656',2.755
'0:00.660',2.755
'0:00.664',2.770
'0:00.668',2.765
'0:00.672',2.755
'0:00.676',2.755
'0:00.680',2.765
'0:00.684',2.775
'0:00.688',2.765
'0:00.692',2.770
'0:00.696',2.770
'0:00.700',2.755
'0:00.704',2.765
'0:00.708',2.770
'0:00.712',2.775
'0:00.716',2.775
'0:00.720',2.775
'0:00.724',2.775
'0:00.728',2.780
'0:00.732',2.780
'0:00.736',2.775
'0:00.740',2.775
'0:00.744',2.775
'0:00.748',2.780
'0:00.752',2.780
'0:00.756',2.780
'0:00.760',2.775
'0:00.764',2.780
'0:00.768',2.775
'0:00.772',2.770
'0:00.776',2.775
