'Elapsed time','MLII'
'hh:mm:ss.mmm','mV'
'0:10.000',-0.550
'0:10.003',-0.560
'0:10.006',-0.575
'0:10.008',-0.575
'0:10.011',-0.570
'0:10.014',-0.565
'0:10.017',-0.545
'0:10.019',-0.570
'0:10.022',-0.575
'0:10.025',-0.580
'0:10.028',-0.560
'0:10.031',-0.550
'0:10.033',-0.550
'0:10.036',-0.555
'0:10.039',-0.570
'0:10.042',-0.570
'0:10.044',-0.555
'0:10.047',-0.540
'0:10.050',-0.545
'0:10.053',-0.555
'0:10.056',-0.545
'0:10.058',-0.535
'0:10.061',-0.520
'0:10.064',-0.515
'0:10.067',-0.535
'0:10.069',-0.520
'0:10.072',-0.510
'0:10.075',-0.480
'0:10.078',-0.440
'0:10.081',-0.415
'0:10.083',-0.385
'0:10.086',-0.335
'0:10.089',-0.310
'0:10.092',-0.275
'0:10.094',-0.230
'0:10.097',-0.205
'0:10.100',-0.210
'0:10.103',-0.225
'0:10.106',-0.220
'0:10.108',-0.170
'0:10.111',-0.125
'0:10.114',-0.115
'0:10.117',-0.140
'0:10.119',-0.170
'0:10.122',-0.210
'0:10.125',-0.220
'0:10.128',-0.225
'0:10.131',-0.225
'0:10.133',-0.210
'0:10.136',-0.200
'0:10.139',-0.185
'0:10.142',-0.150
'0:10.144',-0.100
'0:10.147',0.070
'0:10.150',0.435
'0:10.153',0.955
'0:10.156',1.390
'0:10.158',1.510
'0:10.161',1.400
'0:10.164',1.245
'0:10.167',1.140
'0:10.169',1.070
'0:10.172',0.985
'0:10.175',0.900
'0:10.178',0.805
'0:10.181',0.700
'0:10.183',0.575
'0:10.186',0.460
'0:10.189',0.340
'0:10.192',0.235
'0:10.194',0.135
'0:10.197',0.030
'0:10.200',-0.100
'0:10.203',-0.270
'0:10.206',-0.450
'0:10.208',-0.615
'0:10.211',-0.805
'0:10.214',-0.975
'0:10.217',-1.160
'0:10.219',-1.360
'0:10.222',-1.575
'0:10.225',-1.740
'0:10.228',-1.900
'0:10.231',-2.050
'0:10.233',-2.205
'0:10.236',-2.300
'0:10.239',-2.385
'0:10.242',-2.445
'0:10.244',-2.485
'0:10.247',-2.505
'0:10.250',-2.520
'0:10.253',-2.545
'0:10.256',-2.595
'0:10.258',-2.650
'0:10.261',-2.710
'0:10.264',-2.750
'0:10.267',-2.805
'0:10.269',-2.885
'0:10.272',-2.950
'0:10.275',-3.000
'0:10.278',-3.015
'0:10.281',-2.970
'0:10.283',-2.865
'0:10.286',-2.690
'0:10.289',-2.495
'0:10.292',-2.265
'0:10.294',-2.060
'0:10.297',-1.925
'0:10.300',-1.790
'0:10.303',-1.660
'0:10.306',-1.580
'0:10.308',-1.505
'0:10.311',-1.435
'0:10.314',-1.405
'0:10.317',-1.365
'0:10.319',-1.330
'0:10.322',-1.310
'0:10.325',-1.275
'0:10.328',-1.250
'0:10.331',-1.240
'0:10.333',-1.215
'0:10.336',-1.190
'0:10.339',-1.130
'0:10.342',-1.060
'0:10.344',-0.975
'0:10.347',-0.905
'0:10.350',-0.850
'0:10.353',-0.815
'0:10.356',-0.755
'0:10.358',-0.695
'0:10.361',-0.615
'0:10.364',-0.530
'0:10.367',-0.450
'0:10.369',-0.385
'0:10.372',-0.330
'0:10.375',-0.260
'0:10.378',-0.195
'0:10.381',-0.125
'0:10.383',-0.080
'0:10.386',-0.045
'0:10.389',-0.035
'0:10.392',-0.020
'0:10.394',0.015
'0:10.397',0.035
'0:10.400',0.065
'0:10.403',0.080
'0:10.406',0.080
'0:10.408',0.110
'0:10.411',0.145
'0:10.414',0.175
'0:10.417',0.205
'0:10.419',0.225
'0:10.422',0.230
'0:10.425',0.265
'0:10.428',0.300
'0:10.431',0.350
'0:10.433',0.375
'0:10.436',0.405
'0:10.439',0.410
'0:10.442',0.435
'0:10.444',0.470
'0:10.447',0.510
'0:10.450',0.535
'0:10.453',0.560
'0:10.456',0.575
'0:10.458',0.610
'0:10.461',0.635
'0:10.464',0.695
'0:10.467',0.735
'0:10.469',0.765
'0:10.472',0.780
'0:10.475',0.790
'0:10.478',0.840
'0:10.481',0.865
'0:10.483',0.900
'0:10.486',0.935
'0:10.489',0.945
'0:10.492',0.950
'0:10.494',0.975
'0:10.497',0.995
'0:10.500',1.010
'0:10.503',1.010
'0:10.506',1.025
'0:10.508',1.035
'0:10.511',1.040
'0:10.514',1.030
'0:10.517',1.030
'0:10.519',1.010
'0:10.522',0.990
'0:10.525',0.985
'0:10.528',0.985
'0:10.531',0.970
'0:10.533',0.945
'0:10.536',0.900
'0:10.539',0.870
'0:10.542',0.840
'0:10.544',0.810
'0:10.547',0.765
'0:10.550',0.740
'0:10.553',0.685
'0:10.556',0.650
'0:10.558',0.630
'0:10.561',0.610
'0:10.564',0.565
'0:10.567',0.505
'0:10.569',0.430
'0:10.572',0.370
'0:10.575',0.330
'0:10.578',0.315
'0:10.581',0.295
'0:10.583',0.240
'0:10.586',0.170
'0:10.589',0.125
'0:10.592',0.070
'0:10.594',0.040
'0:10.597',0.010
'0:10.600',-0.030
'0:10.603',-0.075
'0:10.606',-0.120
'0:10.608',-0.160
'0:10.611',-0.190
'0:10.614',-0.215
'0:10.617',-0.235
'0:10.619',-0.275
