'Elapsed time','V5'
'hh:mm:ss.mmm','mV'
'0:00.000',-3.555
'0:00.004',-3.780
'0:00.008',-4.195
'0:00.012',-4.575
'0:00.016',-4.630
'0:00.020',-4.500
'0:00.024',-4.375
'0:00.028',-4.340
'0:00.032',-4.360
'0:00.036',-4.395
'0:00.040',-4.420
'0:00.044',-4.455
'0:00.048',-4.470
'0:00.052',-4.470
'0:00.056',-4.470
'0:00.060',-4.465
'0:00.064',-4.470
'0:00.068',-4.455
'0:00.072',-4.450
'0:00.076',-4.455
'0:00.080',-4.460
'0:00.084',-4.445
'0:00.088',-4.440
'0:00.092',-4.440
'0:00.096',-4.420
'0:00.100',-4.415
'0:00.104',-4.415
'0:00.108',-4.410
'0:00.112',-4.415
'0:00.116',-4.400
'0:00.120',-4.385
'0:00.124',-4.380
'0:00.128',-4.370
'0:00.132',-4.360
'0:00.136',-4.360
'0:00.140',-4.360
'0:00.144',-4.345
'0:00.148',-4.330
'0:00.152',-4.320
'0:00.156',-4.305
'0:00.160',-4.295
'0:00.164',-4.280
'0:00.168',-4.270
'0:00.172',-4.265
'0:00.176',-4.250
'0:00.180',-4.235
'0:00.184',-4.210
'0:00.188',-4.195
'0:00.192',-4.180
'0:00.196',-4.160
'0:00.200',-4.150
'0:00.204',-4.140
'0:00.208',-4.130
'0:00.212',-4.105
'0:00.216',-4.085
'0:00.220',-4.075
'0:00.224',-4.050
'0:00.228',-4.040
'0:00.232',-4.035
'0:00.236',-4.030
'0:00.240',-4.025
'0:00.244',-4.005
'0:00.248',-4.000
'0:00.252',-4.005
'0:00.256',-4.010
'0:00.260',-4.015
'0:00.264',-4.040
'0:00.268',-4.065
'0:00.272',-4.095
'0:00.276',-4.140
'0:00.280',-4.175
'0:00.284',-4.230
'0:00.288',-4.275
'0:00.292',-4.325
'0:00.296',-4.365
'0:00.300',-4.400
'0:00.304',-4.425
'0:00.308',-4.455
'0:00.312',-4.475
'0:00.316',-4.485
'0:00.320',-4.500
'0:00.324',-4.510
'0:00.328',-4.530
'0:00.332',-4.535
'0:00.336',-4.545
'0:00.340',-4.530
'0:00.344',-4.525
'0:00.348',-4.530
'0:00.352',-4.535
'0:00.356',-4.545
'0:00.360',-4.550
'0:00.364',-4.545
'0:00.368',-4.535
'0:00.372',-4.530
'0:00.376',-4.530
'0:00.380',-4.530
'0:00.384',-4.530
'0:00.388',-4.545
'0:00.392',-4.535
'0:00.396',-4.545
'0:00.400',-4.535
'0:00.404',-4.540
'0:00.408',-4.530
'0:00.412',-4.535
'0:00.416',-4.535
'0:00.420',-4.545
'0:00.424',-4.545
'0:00.428',-4.535
'0:00.432',-4.545
'0:00.436',-4.550
'0:00.440',-4.555
'0:00.444',-4.555
'0:00.448',-4.565
'0:00.452',-4.565
'0:00.456',-4.565
'0:00.460',-4.570
'0:00.464',-4.575
'0:00.468',-4.580
'0:00.472',-4.565
'0:00.476',-4.575
'0:00.480',-4.580
'0:00.484',-4.595
'0:00.488',-4.595
'0:00.492',-4.595
'0:00.496',-4.595
'0:00.500',-4.595
'0:00.504',-4.595
'0:00.508',-4.600
'0:00.512',-4.605
'0:00.516',-4.615
'0:00.520',-4.615
'0:00.524',-4.610
'0:00.528',-4.605
'0:00.532',-4.610
'0:00.536',-4.605
'0:00.540',-4.620
'0:00.544',-4.625
'0:00.548',-4.635
'0:00.552',-4.625
'0:00.556',-4.615
'0:00.560',-4.620
'0:00.564',-4.625
'0:00.568',-4.625
'0:00.572',-4.625
'0:00.576',-4.625
'0:00.580',-4.635
'0:00.584',-4.625
'0:00.588',-4.630
'0:00.592',-4.625
'0:00.596',-4.630
'0:00.600',-4.630
'0:00.604',-4.640
'0:00.608',-4.645
'0:00.612',-4.645
'0:00.616',-4.645
'0:00.620',-4.640
'0:00.624',-4.640
'0:00.628',-4.635
'0:00.632',-4.635
'0:00.636',-4.640
'0:00.640',-4.640
'0:00.644',-4.640
'0:00.648',-4.640
'0:00.652',-4.635
'0:00.656',-4.635
'0:00.660',-4.630
'0:00.664',-4.625
'0:00.668',-4.640
'0:00.672',-4.645
'0:00.676',-4.645
'0:00.680',-4.640
'0:00.684',-4.630
'0:00.688',-4.630
'0:00.692',-4.625
'0:00.696',-4.625
'0:00.700',-4.635
'0:00.704',-4.630
'0:00.708',-4.630
'0:00.712',-4.625
'0:00.716',-4.625
'0:00.720',-4.625
'0:00.724',-4.625
'0:00.728',-4.625
'0:00.732',-4.635
'0:00.736',-4.635
'0:00.740',-4.635
'0:00.744',-4.625
'0:00.748',-4.625
'0:00.752',-4.625
'0:00.756',-4.620
'0:00.760',-4.620
'0:00.764',-4.625
'0:00.768',-4.635
