'Elapsed time','V5'
'hh:mm:ss.mmm','mV'
'0:00.000',-3.210
'0:00.004',-3.210
'0:00.008',-3.225
'0:00.012',-3.255
'0:00.016',-3.270
'0:00.020',-3.285
'0:00.024',-3.285
'0:00.028',-3.285
'0:00.032',-3.285
'0:00.036',-3.285
'0:00.040',-3.285
'0:00.044',-3.285
'0:00.048',-3.285
'0:00.052',-3.285
'0:00.056',-3.285
'0:00.060',-3.285
'0:00.064',-3.265
'0:00.068',-3.255
'0:00.072',-3.265
'0:00.076',-3.270
'0:00.080',-3.265
'0:00.084',-3.255
'0:00.088',-3.265
'0:00.092',-3.255
'0:00.096',-3.255
'0:00.100',-3.255
'0:00.104',-3.265
'0:00.108',-3.255
'0:00.112',-3.240
'0:00.116',-3.235
'0:00.120',-3.235
'0:00.124',-3.220
'0:00.128',-3.175
'0:00.132',-3.115
'0:00.136',-2.985
'0:00.140',-2.760
'0:00.144',-2.565
'0:00.148',-2.355
'0:00.152',-2.205
'0:00.156',-2.130
'0:00.160',-2.175
'0:00.164',-2.380
'0:00.168',-2.710
'0:00.172',-3.130
'0:00.176',-3.475
'0:00.180',-3.700
'0:00.184',-3.825
'0:00.188',-3.910
'0:00.192',-3.985
'0:00.196',-4.030
'0:00.200',-4.060
'0:00.204',-4.090
'0:00.208',-4.105
'0:00.212',-4.075
'0:00.216',-4.005
'0:00.220',-3.930
'0:00.224',-3.820
'0:00.228',-3.705
'0:00.232',-3.580
'0:00.236',-3.465
'0:00.240',-3.375
'0:00.244',-3.340
'0:00.248',-3.330
'0:00.252',-3.330
'0:00.256',-3.325
'0:00.260',-3.315
'0:00.264',-3.315
'0:00.268',-3.300
'0:00.272',-3.310
'0:00.276',-3.300
'0:00.280',-3.285
'0:00.284',-3.285
'0:00.288',-3.310
'0:00.292',-3.310
'0:00.296',-3.325
'0:00.300',-3.315
'0:00.304',-3.315
'0:00.308',-3.330
'0:00.312',-3.310
'0:00.316',-3.315
'0:00.320',-3.315
'0:00.324',-3.315
'0:00.328',-3.315
'0:00.332',-3.315
'0:00.336',-3.330
'0:00.340',-3.330
'0:00.344',-3.345
'0:00.348',-3.340
'0:00.352',-3.325
'0:00.356',-3.315
'0:00.360',-3.310
'0:00.364',-3.315
'0:00.368',-3.315
'0:00.372',-3.310
'0:00.376',-3.285
'0:00.380',-3.265
'0:00.384',-3.240
'0:00.388',-3.210
'0:00.392',-3.175
'0:00.396',-3.135
'0:00.400',-3.115
'0:00.404',-3.070
'0:00.408',-3.025
'0:00.412',-2.955
'0:00.416',-2.905
'0:00.420',-2.865
'0:00.424',-2.845
'0:00.428',-2.835
'0:00.432',-2.830
'0:00.436',-2.850
'0:00.440',-2.875
'0:00.444',-2.895
'0:00.448',-2.920
'0:00.452',-2.935
'0:00.456',-2.970
'0:00.460',-2.995
'0:00.464',-3.045
'0:00.468',-3.090
'0:00.472',-3.105
'0:00.476',-3.130
'0:00.480',-3.135
'0:00.484',-3.135
'0:00.488',-3.165
'0:00.492',-3.150
'0:00.496',-3.135
'0:00.500',-3.165
'0:00.504',-3.175
'0:00.508',-3.190
'0:00.512',-3.190
'0:00.516',-3.190
'0:00.520',-3.175
'0:00.524',-3.165
'0:00.528',-3.165
'0:00.532',-3.165
'0:00.536',-3.150
'0:00.540',-3.165
'0:00.544',-3.165
