'Elapsed time','MLIII'
'hh:mm:ss.mmm','mV'
'0:00.000',-1.820
'0:00.004',-2.165
'0:00.008',-2.505
'0:00.012',-2.845
'0:00.016',-3.145
'0:00.020',-3.405
'0:00.024',-3.590
'0:00.028',-3.670
'0:00.032',-3.565
'0:00.036',-3.280
'0:00.040',-2.925
'0:00.044',-2.545
'0:00.048',-2.280
'0:00.052',-2.150
'0:00.056',-2.090
'0:00.060',-2.080
'0:00.064',-2.060
'0:00.068',-2.055
'0:00.072',-2.045
'0:00.076',-2.020
'0:00.080',-2.015
'0:00.084',-2.015
'0:00.088',-2.005
'0:00.092',-2.005
'0:00.096',-2.000
'0:00.100',-1.995
'0:00.104',-1.975
'0:00.108',-1.985
'0:00.112',-1.970
'0:00.116',-1.960
'0:00.120',-1.945
'0:00.124',-1.930
'0:00.128',-1.935
'0:00.132',-1.935
'0:00.136',-1.935
'0:00.140',-1.910
'0:00.144',-1.900
'0:00.148',-1.875
'0:00.152',-1.855
'0:00.156',-1.855
'0:00.160',-1.850
'0:00.164',-1.845
'0:00.168',-1.830
'0:00.172',-1.815
'0:00.176',-1.790
'0:00.180',-1.770
'0:00.184',-1.755
'0:00.188',-1.735
'0:00.192',-1.700
'0:00.196',-1.680
'0:00.200',-1.670
'0:00.204',-1.645
'0:00.208',-1.625
'0:00.212',-1.610
'0:00.216',-1.605
'0:00.220',-1.605
'0:00.224',-1.605
'0:00.228',-1.610
'0:00.232',-1.595
'0:00.236',-1.585
'0:00.240',-1.585
'0:00.244',-1.595
'0:00.248',-1.590
'0:00.252',-1.635
'0:00.256',-1.660
'0:00.260',-1.690
'0:00.264',-1.695
'0:00.268',-1.710
'0:00.272',-1.720
'0:00.276',-1.765
'0:00.280',-1.815
'0:00.284',-1.855
'0:00.288',-1.900
'0:00.292',-1.930
'0:00.296',-1.985
'0:00.300',-2.005
'0:00.304',-2.025
'0:00.308',-2.035
'0:00.312',-2.045
'0:00.316',-2.045
'0:00.320',-2.050
'0:00.324',-2.065
'0:00.328',-2.075
'0:00.332',-2.080
'0:00.336',-2.085
'0:00.340',-2.090
'0:00.344',-2.090
