'Elapsed time','ECG I'
'hh:mm:ss.mmm','mV'
'0:00.000',0.215
'0:00.002',0.240
'0:00.004',0.355
'0:00.006',0.415
'0:00.008',0.450
'0:00.010',0.480
'0:00.012',0.445
'0:00.014',0.440
'0:00.016',0.340
'0:00.018',0.330
'0:00.020',0.360
'0:00.022',0.450
'0:00.024',0.450
'0:00.026',0.485
'0:00.028',0.525
'0:00.030',0.500
'0:00.032',0.475
'0:00.034',0.435
'0:00.036',0.340
'0:00.038',0.390
'0:00.040',0.450
'0:00.042',0.420
'0:00.044',0.470
'0:00.046',0.520
'0:00.048',0.525
'0:00.050',0.465
'0:00.052',0.465
'0:00.054',0.465
'0:00.056',0.385
'0:00.058',0.355
'0:00.060',0.390
'0:00.062',0.450
'0:00.064',0.485
'0:00.066',0.530
'0:00.068',0.565
'0:00.070',0.535
'0:00.072',0.540
'0:00.074',0.485
'0:00.076',0.390
'0:00.078',0.410
'0:00.080',0.400
'0:00.082',0.430
'0:00.084',0.505
'0:00.086',0.510
'0:00.088',0.540
'0:00.090',0.500
'0:00.092',0.495
'0:00.094',0.510
'0:00.096',0.370
'0:00.098',0.360
'0:00.100',0.335
'0:00.102',0.465
'0:00.104',0.490
'0:00.106',0.590
'0:00.108',0.585
'0:00.110',0.565
'0:00.112',0.535
'0:00.114',0.530
'0:00.116',0.405
'0:00.118',0.380
'0:00.120',0.395
'0:00.122',0.490
'0:00.124',0.530
'0:00.126',0.610
'0:00.128',0.580
'0:00.130',0.570
'0:00.132',0.500
'0:00.134',0.505
'0:00.136',0.465
'0:00.138',0.510
'0:00.140',0.465
'0:00.142',0.530
'0:00.144',0.510
'0:00.146',0.575
'0:00.148',0.575
'0:00.150',0.600
'0:00.152',0.515
'0:00.154',0.505
'0:00.156',0.455
'0:00.158',0.500
'0:00.160',0.550
'0:00.162',0.565
'0:00.164',0.580
'0:00.166',0.615
'0:00.168',0.655
'0:00.170',0.645
'0:00.172',0.580
'0:00.174',0.550
'0:00.176',0.595
'0:00.178',0.550
'0:00.180',0.535
'0:00.182',0.565
'0:00.184',0.660
'0:00.186',0.690
'0:00.188',0.695
'0:00.190',0.705
'0:00.192',0.640
'0:00.194',0.660
'0:00.196',0.610
'0:00.198',0.620
'0:00.200',0.595
'0:00.202',0.660
'0:00.204',0.700
'0:00.206',0.730
'0:00.208',0.700
'0:00.210',0.690
'0:00.212',0.665
'0:00.214',0.615
'0:00.216',0.585
'0:00.218',0.610
'0:00.220',0.575
'0:00.222',0.685
'0:00.224',0.710
'0:00.226',0.710
'0:00.228',0.680
'0:00.230',0.675
'0:00.232',0.665
'0:00.234',0.500
'0:00.236',0.560
'0:00.238',0.590
'0:00.240',0.555
'0:00.242',0.620
'0:00.244',0.635
'0:00.246',0.650
'0:00.248',0.595
'0:00.250',0.555
'0:00.252',0.515
'0:00.254',0.490
'0:00.256',0.425
'0:00.258',0.425
'0:00.260',0.470
'0:00.262',0.520
'0:00.264',0.555
'0:00.266',0.545
'0:00.268',0.510
'0:00.270',0.505
'0:00.272',0.470
'0:00.274',0.380
'0:00.276',0.375
'0:00.278',0.315
'0:00.280',0.390
'0:00.282',0.480
'0:00.284',0.500
'0:00.286',0.485
'0:00.288',0.485
'0:00.290',0.440
'0:00.292',0.380
'0:00.294',0.415
'0:00.296',0.445
'0:00.298',0.365
'0:00.300',0.365
'0:00.302',0.400
'0:00.304',0.575
'0:00.306',0.490
'0:00.308',0.440
'0:00.310',0.445
'0:00.312',0.410
'0:00.314',0.310
'0:00.316',0.345
'0:00.318',0.400
'0:00.320',0.440
'0:00.322',0.430
'0:00.324',0.500
'0:00.326',0.510
'0:00.328',0.490
'0:00.330',0.460
'0:00.332',0.435
'0:00.334',0.350
'0:00.336',0.355
'0:00.338',0.340
'0:00.340',0.375
'0:00.342',0.375
'0:00.344',0.520
'0:00.346',0.460
'0:00.348',0.475
'0:00.350',0.460
'0:00.352',0.400
'0:00.354',0.355
'0:00.356',0.375
'0:00.358',0.365
'0:00.360',0.390
'0:00.362',0.380
'0:00.364',0.440
'0:00.366',0.435
'0:00.368',0.520
'0:00.370',0.450
'0:00.372',0.420
'0:00.374',0.355
'0:00.376',0.350
'0:00.378',0.375
'0:00.380',0.405
'0:00.382',0.460
'0:00.384',0.490
'0:00.386',0.525
'0:00.388',0.500
'0:00.390',0.455
'0:00.392',0.455
'0:00.394',0.355
'0:00.396',0.370
'0:00.398',0.350
'0:00.400',0.395
'0:00.402',0.400
'0:00.404',0.435
'0:00.406',0.620
'0:00.408',0.510
'0:00.410',0.445
'0:00.412',0.425
'0:00.414',0.310
'0:00.416',0.395
'0:00.418',0.365
'0:00.420',0.380
'0:00.422',0.430
'0:00.424',0.560
'0:00.426',0.545
'0:00.428',0.505
'0:00.430',0.440
'0:00.432',0.400
'0:00.434',0.375
'0:00.436',0.380
'0:00.438',0.390
'0:00.440',0.405
'0:00.442',0.450
'0:00.444',0.530
'0:00.446',0.515
'0:00.448',0.460
'0:00.450',0.460
'0:00.452',0.420
'0:00.454',0.355
'0:00.456',0.405
'0:00.458',0.365
'0:00.460',0.400
'0:00.462',0.440
'0:00.464',0.535
'0:00.466',0.520
'0:00.468',0.485
'0:00.470',0.480
'0:00.472',0.420
'0:00.474',0.320
'0:00.476',0.350
'0:00.478',0.410
'0:00.480',0.440
'0:00.482',0.475
'0:00.484',0.435
'0:00.486',0.515
'0:00.488',0.460
'0:00.490',0.475
'0:00.492',0.360
'0:00.494',0.365
'0:00.496',0.380
'0:00.498',0.390
'0:00.500',0.440
'0:00.502',0.525
'0:00.504',0.485
'0:00.506',0.530
'0:00.508',0.445
'0:00.510',0.430
'0:00.512',0.380
'0:00.514',0.365
'0:00.516',0.410
'0:00.518',0.370
'0:00.520',0.430
'0:00.522',0.455
'0:00.524',0.470
'0:00.526',0.495
'0:00.528',0.495
'0:00.530',0.410
'0:00.532',0.360
'0:00.534',0.395
'0:00.536',0.330
'0:00.538',0.395
'0:00.540',0.425
'0:00.542',0.510
'0:00.544',0.485
'0:00.546',0.500
'0:00.548',0.435
'0:00.550',0.485
'0:00.552',0.385
'0:00.554',0.330
'0:00.556',0.325
'0:00.558',0.315
'0:00.560',0.460
'0:00.562',0.475
'0:00.564',0.505
'0:00.566',0.480
'0:00.568',0.440
'0:00.570',0.440
'0:00.572',0.405
'0:00.574',0.420
'0:00.576',0.365
'0:00.578',0.440
'0:00.580',0.485
'0:00.582',0.470
'0:00.584',0.445
'0:00.586',0.465
'0:00.588',0.405
'0:00.590',0.425
'0:00.592',0.425
'0:00.594',0.375
'0:00.596',0.375
'0:00.598',0.370
'0:00.600',0.415
'0:00.602',0.505
'0:00.604',0.470
'0:00.606',0.460
'0:00.608',0.445
'0:00.610',0.430
'0:00.612',0.390
'0:00.614',0.385
'0:00.616',0.390
'0:00.618',0.420
'0:00.620',0.475
'0:00.622',0.465
'0:00.624',0.515
'0:00.626',0.495
'0:00.628',0.480
'0:00.630',0.425
'0:00.632',0.385
'0:00.634',0.355
'0:00.636',0.385
'0:00.638',0.385
'0:00.640',0.430
'0:00.642',0.530
'0:00.644',0.475
'0:00.646',0.460
'0:00.648',0.455
