'Elapsed time','V5'
'hh:mm:ss.mmm','mV'
'0:00.000',-6.255
'0:00.004',-6.260
'0:00.008',-6.275
'0:00.012',-6.240
'0:00.016',-6.240
'0:00.020',-6.275
'0:00.024',-6.275
'0:00.028',-6.295
'0:00.032',-6.315
'0:00.036',-6.330
'0:00.040',-6.325
'0:00.044',-6.260
'0:00.048',-6.260
'0:00.052',-6.250
'0:00.056',-6.235
'0:00.060',-6.245
'0:00.064',-6.255
'0:00.068',-6.255
'0:00.072',-6.240
'0:00.076',-6.260
'0:00.080',-6.320
'0:00.084',-6.270
'0:00.088',-6.265
'0:00.092',-6.245
'0:00.096',-6.280
'0:00.100',-6.275
'0:00.104',-6.260
'0:00.108',-6.250
'0:00.112',-6.280
'0:00.116',-6.280
'0:00.120',-6.275
'0:00.124',-6.250
'0:00.128',-6.255
'0:00.132',-6.255
'0:00.136',-6.280
'0:00.140',-6.235
'0:00.144',-6.230
'0:00.148',-6.240
'0:00.152',-6.255
'0:00.156',-6.260
'0:00.160',-6.230
'0:00.164',-6.220
'0:00.168',-6.240
'0:00.172',-6.215
'0:00.176',-6.220
'0:00.180',-6.210
'0:00.184',-6.230
'0:00.188',-6.230
'0:00.192',-6.260
'0:00.196',-6.270
'0:00.200',-6.245
'0:00.204',-6.220
'0:00.208',-6.210
'0:00.212',-6.200
'0:00.216',-6.215
'0:00.220',-6.265
'0:00.224',-6.290
'0:00.228',-6.230
'0:00.232',-6.215
'0:00.236',-6.215
'0:00.240',-6.230
'0:00.244',-6.240
'0:00.248',-6.225
'0:00.252',-6.200
'0:00.256',-6.170
'0:00.260',-6.175
'0:00.264',-6.180
'0:00.268',-6.210
'0:00.272',-6.240
'0:00.276',-6.230
'0:00.280',-6.180
'0:00.284',-6.165
'0:00.288',-6.210
'0:00.292',-6.195
'0:00.296',-6.180
'0:00.300',-6.180
'0:00.304',-6.150
'0:00.308',-6.135
'0:00.312',-6.120
'0:00.316',-6.130
'0:00.320',-6.145
'0:00.324',-6.140
'0:00.328',-6.125
'0:00.332',-6.105
'0:00.336',-6.110
'0:00.340',-6.080
'0:00.344',-6.010
'0:00.348',-6.030
'0:00.352',-6.050
'0:00.356',-6.025
'0:00.360',-6.020
'0:00.364',-6.035
'0:00.368',-6.070
'0:00.372',-6.040
'0:00.376',-6.050
'0:00.380',-6.120
'0:00.384',-6.150
'0:00.388',-6.170
'0:00.392',-6.150
'0:00.396',-6.180
'0:00.400',-6.190
'0:00.404',-6.210
'0:00.408',-6.185
'0:00.412',-6.190
'0:00.416',-6.170
'0:00.420',-6.220
'0:00.424',-6.155
'0:00.428',-6.165
'0:00.432',-6.230
'0:00.436',-6.300
'0:00.440',-6.285
'0:00.444',-6.295
'0:00.448',-6.295
'0:00.452',-6.250
'0:00.456',-6.105
'0:00.460',-5.900
'0:00.464',-5.655
