'Elapsed time','ECG I'
'hh:mm:ss.mmm','mV'
'0:00.000',-1.170
'0:00.002',-1.200
'0:00.004',-1.230
'0:00.006',-1.195
'0:00.008',-1.220
'0:00.010',-1.205
'0:00.012',-1.200
'0:00.014',-1.190
'0:00.016',-1.190
'0:00.018',-1.205
'0:00.020',-1.210
'0:00.022',-1.200
'0:00.024',-1.205
'0:00.026',-1.200
'0:00.028',-1.210
'0:00.030',-1.185
'0:00.032',-1.195
'0:00.034',-1.240
'0:00.036',-1.185
'0:00.038',-1.190
'0:00.040',-1.200
'0:00.042',-1.175
'0:00.044',-1.185
'0:00.046',-1.185
'0:00.048',-1.195
'0:00.050',-1.180
'0:00.052',-1.195
'0:00.054',-1.170
'0:00.056',-1.175
'0:00.058',-1.195
'0:00.060',-1.220
'0:00.062',-1.200
'0:00.064',-1.205
'0:00.066',-1.205
'0:00.068',-1.190
'0:00.070',-1.200
'0:00.072',-1.205
'0:00.074',-1.210
'0:00.076',-1.190
'0:00.078',-1.190
'0:00.080',-1.175
'0:00.082',-1.195
'0:00.084',-1.165
'0:00.086',-1.160
'0:00.088',-1.200
'0:00.090',-1.190
'0:00.092',-1.180
'0:00.094',-1.200
'0:00.096',-1.195
'0:00.098',-1.175
'0:00.100',-1.175
'0:00.102',-1.180
'0:00.104',-1.180
'0:00.106',-1.190
'0:00.108',-1.185
'0:00.110',-1.185
'0:00.112',-1.165
'0:00.114',-1.180
'0:00.116',-1.195
'0:00.118',-1.185
'0:00.120',-1.185
'0:00.122',-1.180
'0:00.124',-1.210
'0:00.126',-1.185
'0:00.128',-1.200
'0:00.130',-1.205
'0:00.132',-1.195
'0:00.134',-1.185
'0:00.136',-1.180
'0:00.138',-1.175
'0:00.140',-1.180
'0:00.142',-1.165
'0:00.144',-1.150
'0:00.146',-1.165
'0:00.148',-1.160
'0:00.150',-1.200
'0:00.152',-1.170
'0:00.154',-1.185
'0:00.156',-1.185
'0:00.158',-1.200
'0:00.160',-1.210
'0:00.162',-1.180
'0:00.164',-1.160
'0:00.166',-1.185
'0:00.168',-1.185
'0:00.170',-1.180
'0:00.172',-1.185
'0:00.174',-1.190
'0:00.176',-1.195
'0:00.178',-1.195
'0:00.180',-1.190
'0:00.182',-1.190
'0:00.184',-1.195
'0:00.186',-1.170
'0:00.188',-1.160
'0:00.190',-1.175
'0:00.192',-1.185
'0:00.194',-1.180
'0:00.196',-1.215
'0:00.198',-1.200
'0:00.200',-1.195
'0:00.202',-1.165
'0:00.204',-1.160
'0:00.206',-1.165
'0:00.208',-1.185
'0:00.210',-1.170
'0:00.212',-1.145
'0:00.214',-1.190
'0:00.216',-1.185
'0:00.218',-1.190
'0:00.220',-1.180
'0:00.222',-1.185
'0:00.224',-1.165
'0:00.226',-1.160
'0:00.228',-1.155
'0:00.230',-1.175
'0:00.232',-1.170
'0:00.234',-1.155
'0:00.236',-1.160
'0:00.238',-1.140
'0:00.240',-1.165
'0:00.242',-1.160
'0:00.244',-1.150
'0:00.246',-1.145
'0:00.248',-1.135
'0:00.250',-1.125
'0:00.252',-1.115
'0:00.254',-1.120
'0:00.256',-1.105
'0:00.258',-1.110
'0:00.260',-1.100
'0:00.262',-1.110
'0:00.264',-1.090
'0:00.266',-1.115
'0:00.268',-1.105
'0:00.270',-1.110
'0:00.272',-1.135
'0:00.274',-1.095
'0:00.276',-1.090
'0:00.278',-1.130
'0:00.280',-1.130
'0:00.282',-1.155
'0:00.284',-1.170
'0:00.286',-1.170
'0:00.288',-1.165
'0:00.290',-1.175
'0:00.292',-1.160
'0:00.294',-1.170
'0:00.296',-1.185
'0:00.298',-1.205
'0:00.300',-1.135
'0:00.302',-1.140
'0:00.304',-1.180
'0:00.306',-1.190
'0:00.308',-1.195
'0:00.310',-1.180
'0:00.312',-1.195
'0:00.314',-1.180
'0:00.316',-1.180
'0:00.318',-1.170
'0:00.320',-1.175
'0:00.322',-1.180
'0:00.324',-1.200
'0:00.326',-1.180
'0:00.328',-1.180
'0:00.330',-1.180
'0:00.332',-1.195
'0:00.334',-1.155
'0:00.336',-1.160
'0:00.338',-1.175
'0:00.340',-1.180
'0:00.342',-1.175
'0:00.344',-1.170
'0:00.346',-1.195
'0:00.348',-1.195
'0:00.350',-1.210
'0:00.352',-1.185
'0:00.354',-1.185
'0:00.356',-1.205
'0:00.358',-1.190
'0:00.360',-1.195
'0:00.362',-1.220
'0:00.364',-1.245
'0:00.366',-1.250
'0:00.368',-1.280
'0:00.370',-1.315
'0:00.372',-1.355
'0:00.374',-1.385
'0:00.376',-1.380
'0:00.378',-1.365
'0:00.380',-1.315
'0:00.382',-1.225
'0:00.384',-1.125
'0:00.386',-0.975
'0:00.388',-0.825
'0:00.390',-0.710
'0:00.392',-0.555
'0:00.394',-0.450
'0:00.396',-0.290
'0:00.398',-0.170
'0:00.400',-0.110
'0:00.402',-0.165
'0:00.404',-0.240
'0:00.406',-0.285
'0:00.408',-0.380
'0:00.410',-0.435
'0:00.412',-0.510
'0:00.414',-0.695
'0:00.416',-0.815
'0:00.418',-0.865
'0:00.420',-0.925
'0:00.422',-0.945
'0:00.424',-0.985
'0:00.426',-1.015
'0:00.428',-1.015
'0:00.430',-1.090
'0:00.432',-1.100
'0:00.434',-1.120
'0:00.436',-1.135
'0:00.438',-1.125
'0:00.440',-1.120
'0:00.442',-1.140
'0:00.444',-1.130
'0:00.446',-1.155
'0:00.448',-1.150
'0:00.450',-1.150
'0:00.452',-1.165
'0:00.454',-1.160
'0:00.456',-1.175
'0:00.458',-1.150
'0:00.460',-1.140
'0:00.462',-1.175
'0:00.464',-1.155
'0:00.466',-1.180
'0:00.468',-1.160
'0:00.470',-1.155
'0:00.472',-1.165
'0:00.474',-1.175
'0:00.476',-1.185
'0:00.478',-1.170
'0:00.480',-1.145
'0:00.482',-1.150
'0:00.484',-1.175
'0:00.486',-1.190
'0:00.488',-1.155
'0:00.490',-1.170
'0:00.492',-1.175
'0:00.494',-1.155
'0:00.496',-1.170
'0:00.498',-1.185
'0:00.500',-1.145
'0:00.502',-1.150
'0:00.504',-1.160
'0:00.506',-1.155
'0:00.508',-1.155
'0:00.510',-1.150
'0:00.512',-1.160
'0:00.514',-1.165
'0:00.516',-1.135
'0:00.518',-1.130
'0:00.520',-1.160
'0:00.522',-1.150
'0:00.524',-1.155
'0:00.526',-1.155
'0:00.528',-1.155
'0:00.530',-1.150
'0:00.532',-1.140
'0:00.534',-1.130
'0:00.536',-1.135
'0:00.538',-1.135
'0:00.540',-1.150
'0:00.542',-1.150
'0:00.544',-1.130
'0:00.546',-1.145
'0:00.548',-1.120
'0:00.550',-1.140
'0:00.552',-1.140
'0:00.554',-1.140
'0:00.556',-1.130
'0:00.558',-1.125
'0:00.560',-1.135
'0:00.562',-1.115
'0:00.564',-1.120
'0:00.566',-1.115
'0:00.568',-1.115
'0:00.570',-1.120
'0:00.572',-1.110
'0:00.574',-1.115
'0:00.576',-1.090
'0:00.578',-1.105
'0:00.580',-1.085
'0:00.582',-1.080
'0:00.584',-1.100
'0:00.586',-1.070
'0:00.588',-1.075
'0:00.590',-1.085
'0:00.592',-1.060
'0:00.594',-1.090
'0:00.596',-1.060
'0:00.598',-1.055
'0:00.600',-1.050
'0:00.602',-1.065
'0:00.604',-1.035
'0:00.606',-1.045
'0:00.608',-1.045
'0:00.610',-1.040
'0:00.612',-1.030
'0:00.614',-1.010
'0:00.616',-1.015
'0:00.618',-0.980
'0:00.620',-0.970
'0:00.622',-1.005
'0:00.624',-0.995
'0:00.626',-1.005
'0:00.628',-1.000
'0:00.630',-1.000
'0:00.632',-0.985
'0:00.634',-0.970
'0:00.636',-0.985
'0:00.638',-1.005
'0:00.640',-0.985
'0:00.642',-0.940
'0:00.644',-0.945
'0:00.646',-1.005
'0:00.648',-0.980
'0:00.650',-0.965
'0:00.652',-0.975
'0:00.654',-0.980
'0:00.656',-0.980
'0:00.658',-0.975
'0:00.660',-0.980
'0:00.662',-1.015
'0:00.664',-1.020
'0:00.666',-1.020
'0:00.668',-1.020
'0:00.670',-1.025
'0:00.672',-1.035
'0:00.674',-1.025
'0:00.676',-1.015
'0:00.678',-1.045
'0:00.680',-1.070
'0:00.682',-1.055
'0:00.684',-1.055
'0:00.686',-1.060
'0:00.688',-1.070
'0:00.690',-1.090
'0:00.692',-1.140
'0:00.694',-1.085
'0:00.696',-1.095
'0:00.698',-1.100
'0:00.700',-1.105
'0:00.702',-1.085
'0:00.704',-1.055
'0:00.706',-1.065
'0:00.708',-1.130
'0:00.710',-1.125
'0:00.712',-1.125
'0:00.714',-1.120
'0:00.716',-1.115
'0:00.718',-1.085
'0:00.720',-1.120
'0:00.722',-1.145
'0:00.724',-1.130
'0:00.726',-1.135
'0:00.728',-1.120
'0:00.730',-1.120
'0:00.732',-1.115
'0:00.734',-1.115
'0:00.736',-1.100
'0:00.738',-1.130
'0:00.740',-1.095
'0:00.742',-1.120
'0:00.744',-1.135
'0:00.746',-1.100
'0:00.748',-1.115
'0:00.750',-1.105
'0:00.752',-1.135
'0:00.754',-1.100
'0:00.756',-1.135
'0:00.758',-1.115
'0:00.760',-1.125
'0:00.762',-1.110
'0:00.764',-1.115
'0:00.766',-1.130
'0:00.768',-1.115
'0:00.770',-1.100
'0:00.772',-1.120
'0:00.774',-1.115
'0:00.776',-1.130
'0:00.778',-1.140
'0:00.780',-1.130
'0:00.782',-1.130
'0:00.784',-1.140
'0:00.786',-1.090
'0:00.788',-1.095
'0:00.790',-1.110
'0:00.792',-1.120
'0:00.794',-1.115
'0:00.796',-1.130
'0:00.798',-1.115
'0:00.800',-1.105
'0:00.802',-1.105
'0:00.804',-1.105
'0:00.806',-1.105
'0:00.808',-1.130
'0:00.810',-1.135
'0:00.812',-1.150
'0:00.814',-1.090
'0:00.816',-1.095
'0:00.818',-1.105
'0:00.820',-1.120
'0:00.822',-1.090
'0:00.824',-1.115
'0:00.826',-1.110
'0:00.828',-1.115
'0:00.830',-1.130
'0:00.832',-1.135
'0:00.834',-1.120
'0:00.836',-1.105
'0:00.838',-1.125
'0:00.840',-1.115
'0:00.842',-1.075
'0:00.844',-1.090
'0:00.846',-1.095
'0:00.848',-1.115
'0:00.850',-1.105
'0:00.852',-1.120
'0:00.854',-1.095
'0:00.856',-1.105
'0:00.858',-1.105
'0:00.860',-1.110
'0:00.862',-1.115
'0:00.864',-1.105
'0:00.866',-1.110
'0:00.868',-1.125
'0:00.870',-1.120
'0:00.872',-1.105
'0:00.874',-1.100
'0:00.876',-1.105
'0:00.878',-1.100
'0:00.880',-1.125
'0:00.882',-1.115
'0:00.884',-1.105
'0:00.886',-1.100
'0:00.888',-1.100
'0:00.890',-1.085
'0:00.892',-1.115
'0:00.894',-1.105
'0:00.896',-1.110
'0:00.898',-1.100
'0:00.900',-1.105
'0:00.902',-1.120
'0:00.904',-1.115
'0:00.906',-1.085
'0:00.908',-1.100
'0:00.910',-1.100
'0:00.912',-1.105
'0:00.914',-1.095
'0:00.916',-1.090
'0:00.918',-1.115
'0:00.920',-1.090
'0:00.922',-1.115
'0:00.924',-1.115
'0:00.926',-1.105
'0:00.928',-1.105
'0:00.930',-1.110
'0:00.932',-1.110
'0:00.934',-1.085
'0:00.936',-1.145
'0:00.938',-1.115
'0:00.940',-1.125
'0:00.942',-1.120
'0:00.944',-1.135
'0:00.946',-1.095
'0:00.948',-1.100
'0:00.950',-1.105
'0:00.952',-1.090
'0:00.954',-1.095
'0:00.956',-1.095
'0:00.958',-1.115
'0:00.960',-1.120
'0:00.962',-1.120
'0:00.964',-1.105
'0:00.966',-1.100
'0:00.968',-1.110
'0:00.970',-1.115
'0:00.972',-1.100
'0:00.974',-1.100
'0:00.976',-1.085
'0:00.978',-1.105
'0:00.980',-1.100
'0:00.982',-1.090
'0:00.984',-1.110
'0:00.986',-1.100
'0:00.988',-1.130
'0:00.990',-1.120
'0:00.992',-1.110
'0:00.994',-1.110
'0:00.996',-1.100
'0:00.998',-1.095
'0:01.000',-1.110
'0:01.002',-1.095
'0:01.004',-1.090
'0:01.006',-1.085
'0:01.008',-1.090
'0:01.010',-1.080
'0:01.012',-1.090
'0:01.014',-1.080
'0:01.016',-1.085
'0:01.018',-1.090
'0:01.020',-1.065
'0:01.022',-1.085
'0:01.024',-1.085
'0:01.026',-1.055
'0:01.028',-1.075
'0:01.030',-1.060
'0:01.032',-1.095
'0:01.034',-1.090
'0:01.036',-1.060
'0:01.038',-1.035
'0:01.040',-1.025
'0:01.042',-1.055
'0:01.044',-1.045
'0:01.046',-1.030
'0:01.048',-1.015
'0:01.050',-1.020
'0:01.052',-1.040
'0:01.054',-1.015
'0:01.056',-1.020
'0:01.058',-1.010
'0:01.060',-1.025
'0:01.062',-1.045
'0:01.064',-1.020
'0:01.066',-1.060
'0:01.068',-1.085
'0:01.070',-1.085
'0:01.072',-1.095
'0:01.074',-1.100
'0:01.076',-1.080
'0:01.078',-1.080
'0:01.080',-1.080
'0:01.082',-1.080
'0:01.084',-1.080
'0:01.086',-1.085
'0:01.088',-1.085
'0:01.090',-1.100
'0:01.092',-1.070
'0:01.094',-1.105
'0:01.096',-1.125
'0:01.098',-1.115
'0:01.100',-1.080
'0:01.102',-1.095
'0:01.104',-1.110
'0:01.106',-1.100
'0:01.108',-1.100
'0:01.110',-1.090
'0:01.112',-1.080
'0:01.114',-1.110
'0:01.116',-1.105
'0:01.118',-1.080
'0:01.120',-1.095
'0:01.122',-1.120
'0:01.124',-1.105
'0:01.126',-1.115
'0:01.128',-1.105
'0:01.130',-1.130
'0:01.132',-1.135
'0:01.134',-1.125
'0:01.136',-1.100
'0:01.138',-1.115
'0:01.140',-1.105
'0:01.142',-1.100
'0:01.144',-1.105
'0:01.146',-1.110
'0:01.148',-1.115
'0:01.150',-1.145
'0:01.152',-1.125
'0:01.154',-1.175
'0:01.156',-1.160
'0:01.158',-1.230
'0:01.160',-1.270
'0:01.162',-1.290
'0:01.164',-1.325
'0:01.166',-1.325
'0:01.168',-1.305
'0:01.170',-1.250
'0:01.172',-1.150
'0:01.174',-1.015
'0:01.176',-0.880
'0:01.178',-0.740
'0:01.180',-0.585
'0:01.182',-0.445
'0:01.184',-0.335
'0:01.186',-0.210
'0:01.188',-0.110
'0:01.190',-0.085
'0:01.192',-0.105
'0:01.194',-0.160
'0:01.196',-0.235
'0:01.198',-0.330
'0:01.200',-0.375
'0:01.202',-0.465
'0:01.204',-0.635
'0:01.206',-0.745
'0:01.208',-0.800
'0:01.210',-0.865
'0:01.212',-0.880
'0:01.214',-0.905
'0:01.216',-0.950
'0:01.218',-0.980
'0:01.220',-0.995
'0:01.222',-1.025
'0:01.224',-1.065
'0:01.226',-1.090
'0:01.228',-1.075
'0:01.230',-1.085
'0:01.232',-1.090
'0:01.234',-1.075
'0:01.236',-1.070
'0:01.238',-1.065
'0:01.240',-1.090
'0:01.242',-1.100
'0:01.244',-1.110
'0:01.246',-1.095
'0:01.248',-1.115
'0:01.250',-1.110
'0:01.252',-1.110
'0:01.254',-1.125
'0:01.256',-1.110
'0:01.258',-1.070
'0:01.260',-1.100
'0:01.262',-1.125
'0:01.264',-1.105
'0:01.266',-1.110
'0:01.268',-1.100
'0:01.270',-1.085
'0:01.272',-1.105
'0:01.274',-1.105
'0:01.276',-1.100
'0:01.278',-1.105
'0:01.280',-1.125
'0:01.282',-1.105
'0:01.284',-1.110
'0:01.286',-1.110
'0:01.288',-1.110
'0:01.290',-1.110
'0:01.292',-1.095
'0:01.294',-1.115
'0:01.296',-1.110
'0:01.298',-1.080
'0:01.300',-1.110
'0:01.302',-1.100
'0:01.304',-1.120
'0:01.306',-1.080
'0:01.308',-1.090
'0:01.310',-1.100
'0:01.312',-1.115
'0:01.314',-1.090
'0:01.316',-1.085
'0:01.318',-1.090
'0:01.320',-1.075
'0:01.322',-1.070
'0:01.324',-1.090
'0:01.326',-1.100
'0:01.328',-1.085
'0:01.330',-1.085
'0:01.332',-1.125
'0:01.334',-1.110
'0:01.336',-1.085
'0:01.338',-1.095
'0:01.340',-1.090
'0:01.342',-1.040
'0:01.344',-1.075
'0:01.346',-1.065
'0:01.348',-1.075
'0:01.350',-1.085
'0:01.352',-1.050
'0:01.354',-1.060
'0:01.356',-1.060
'0:01.358',-1.065
'0:01.360',-1.090
