'Elapsed time','ECG I'
'hh:mm:ss.mmm','mV'
'0:00.000',-0.975
'0:00.002',-0.915
'0:00.004',-0.910
'0:00.006',-0.890
'0:00.008',-0.900
'0:00.010',-0.940
'0:00.012',-0.945
'0:00.014',-0.990
'0:00.016',-1.015
'0:00.018',-1.005
'0:00.020',-0.970
'0:00.022',-0.970
'0:00.024',-0.965
'0:00.026',-0.915
'0:00.028',-0.920
'0:00.030',-0.955
'0:00.032',-0.965
'0:00.034',-1.015
'0:00.036',-1.030
'0:00.038',-1.020
'0:00.040',-1.005
'0:00.042',-0.990
'0:00.044',-0.960
'0:00.046',-0.950
'0:00.048',-0.970
'0:00.050',-0.985
'0:00.052',-1.000
'0:00.054',-1.040
'0:00.056',-1.030
'0:00.058',-1.035
'0:00.060',-1.025
'0:00.062',-0.990
'0:00.064',-0.945
'0:00.066',-0.975
'0:00.068',-0.985
'0:00.070',-1.005
'0:00.072',-0.970
'0:00.074',-1.010
'0:00.076',-1.060
'0:00.078',-1.035
'0:00.080',-1.020
'0:00.082',-1.035
'0:00.084',-0.975
'0:00.086',-0.980
'0:00.088',-0.990
'0:00.090',-0.955
'0:00.092',-0.985
'0:00.094',-1.060
'0:00.096',-1.035
'0:00.098',-1.025
'0:00.100',-1.040
'0:00.102',-0.975
'0:00.104',-0.950
'0:00.106',-0.975
'0:00.108',-1.000
'0:00.110',-0.965
'0:00.112',-0.995
'0:00.114',-1.040
'0:00.116',-1.060
'0:00.118',-1.065
'0:00.120',-1.050
'0:00.122',-1.040
'0:00.124',-0.985
'0:00.126',-0.960
'0:00.128',-0.960
'0:00.130',-1.010
'0:00.132',-1.030
'0:00.134',-1.055
'0:00.136',-1.065
'0:00.138',-1.090
'0:00.140',-1.055
'0:00.142',-1.015
'0:00.144',-1.030
'0:00.146',-1.030
'0:00.148',-1.040
'0:00.150',-1.065
'0:00.152',-1.100
'0:00.154',-1.135
'0:00.156',-1.155
'0:00.158',-1.135
'0:00.160',-1.135
'0:00.162',-1.115
'0:00.164',-1.070
'0:00.166',-1.070
'0:00.168',-1.110
'0:00.170',-1.110
'0:00.172',-1.145
'0:00.174',-1.135
'0:00.176',-1.210
'0:00.178',-1.195
'0:00.180',-1.160
'0:00.182',-1.150
'0:00.184',-1.165
'0:00.186',-1.175
'0:00.188',-1.110
'0:00.190',-1.125
'0:00.192',-1.160
'0:00.194',-1.175
'0:00.196',-1.210
'0:00.198',-1.180
'0:00.200',-1.170
'0:00.202',-1.160
'0:00.204',-1.145
'0:00.206',-1.115
'0:00.208',-1.150
'0:00.210',-1.200
'0:00.212',-1.200
'0:00.214',-1.230
'0:00.216',-1.285
'0:00.218',-1.210
'0:00.220',-1.175
'0:00.222',-1.155
'0:00.224',-1.140
'0:00.226',-1.115
'0:00.228',-1.150
'0:00.230',-1.170
'0:00.232',-1.215
'0:00.234',-1.245
'0:00.236',-1.165
'0:00.238',-1.215
'0:00.240',-1.205
'0:00.242',-1.205
'0:00.244',-1.165
'0:00.246',-1.165
'0:00.248',-1.190
'0:00.250',-1.195
'0:00.252',-1.220
'0:00.254',-1.225
'0:00.256',-1.230
'0:00.258',-1.245
'0:00.260',-1.280
'0:00.262',-1.250
'0:00.264',-1.245
'0:00.266',-1.210
'0:00.268',-1.240
'0:00.270',-1.255
'0:00.272',-1.315
'0:00.274',-1.330
'0:00.276',-1.340
'0:00.278',-1.315
'0:00.280',-1.305
'0:00.282',-1.265
'0:00.284',-1.245
'0:00.286',-1.255
'0:00.288',-1.265
'0:00.290',-1.275
'0:00.292',-1.330
'0:00.294',-1.355
'0:00.296',-1.350
'0:00.298',-1.300
'0:00.300',-1.285
'0:00.302',-1.285
'0:00.304',-1.210
'0:00.306',-1.235
'0:00.308',-1.305
'0:00.310',-1.290
'0:00.312',-1.340
'0:00.314',-1.375
'0:00.316',-1.355
'0:00.318',-1.345
'0:00.320',-1.245
'0:00.322',-1.220
'0:00.324',-1.305
'0:00.326',-1.255
'0:00.328',-1.285
'0:00.330',-1.290
'0:00.332',-1.350
'0:00.334',-1.385
'0:00.336',-1.400
'0:00.338',-1.350
'0:00.340',-1.435
'0:00.342',-1.445
'0:00.344',-1.445
'0:00.346',-1.410
'0:00.348',-1.360
'0:00.350',-1.315
'0:00.352',-1.260
'0:00.354',-1.105
'0:00.356',-0.925
'0:00.358',-0.710
'0:00.360',-0.500
'0:00.362',-0.365
'0:00.364',-0.300
'0:00.366',-0.185
'0:00.368',-0.215
'0:00.370',-0.310
'0:00.372',-0.480
'0:00.374',-0.720
'0:00.376',-0.915
'0:00.378',-1.015
'0:00.380',-1.085
'0:00.382',-1.170
'0:00.384',-1.220
'0:00.386',-1.215
'0:00.388',-1.240
'0:00.390',-1.305
'0:00.392',-1.275
'0:00.394',-1.275
'0:00.396',-1.370
'0:00.398',-1.320
'0:00.400',-1.300
'0:00.402',-1.260
'0:00.404',-1.220
'0:00.406',-1.265
'0:00.408',-1.330
'0:00.410',-1.350
'0:00.412',-1.370
'0:00.414',-1.340
'0:00.416',-1.330
'0:00.418',-1.360
'0:00.420',-1.335
'0:00.422',-1.300
'0:00.424',-1.310
'0:00.426',-1.305
'0:00.428',-1.335
'0:00.430',-1.385
'0:00.432',-1.365
'0:00.434',-1.390
'0:00.436',-1.345
'0:00.438',-1.355
'0:00.440',-1.305
'0:00.442',-1.300
'0:00.444',-1.295
'0:00.446',-1.310
'0:00.448',-1.345
'0:00.450',-1.390
'0:00.452',-1.405
'0:00.454',-1.415
'0:00.456',-1.410
'0:00.458',-1.405
'0:00.460',-1.370
'0:00.462',-1.310
'0:00.464',-1.325
'0:00.466',-1.350
'0:00.468',-1.365
'0:00.470',-1.385
'0:00.472',-1.445
'0:00.474',-1.435
'0:00.476',-1.405
'0:00.478',-1.350
'0:00.480',-1.345
'0:00.482',-1.350
'0:00.484',-1.365
'0:00.486',-1.365
'0:00.488',-1.390
'0:00.490',-1.405
'0:00.492',-1.420
'0:00.494',-1.370
'0:00.496',-1.430
'0:00.498',-1.420
'0:00.500',-1.335
'0:00.502',-1.370
'0:00.504',-1.360
'0:00.506',-1.370
