'Elapsed time','V5'
'hh:mm:ss.mmm','mV'
'0:00.000',-6.065
'0:00.004',-6.075
'0:00.008',-6.075
'0:00.012',-6.080
'0:00.016',-6.080
'0:00.020',-6.075
'0:00.024',-6.075
'0:00.028',-6.085
'0:00.032',-6.085
'0:00.036',-6.090
'0:00.040',-6.095
'0:00.044',-6.095
'0:00.048',-6.095
'0:00.052',-6.100
'0:00.056',-6.100
'0:00.060',-6.105
'0:00.064',-6.100
'0:00.068',-6.105
'0:00.072',-6.090
'0:00.076',-6.090
'0:00.080',-6.090
'0:00.084',-6.095
'0:00.088',-6.100
'0:00.092',-6.100
'0:00.096',-6.100
'0:00.100',-6.100
'0:00.104',-6.100
'0:00.108',-6.100
'0:00.112',-6.105
'0:00.116',-6.100
'0:00.120',-6.105
'0:00.124',-6.115
'0:00.128',-6.115
'0:00.132',-6.120
'0:00.136',-6.110
'0:00.140',-6.105
'0:00.144',-6.100
'0:00.148',-6.095
'0:00.152',-6.100
'0:00.156',-6.095
'0:00.160',-6.095
'0:00.164',-6.100
'0:00.168',-6.100
'0:00.172',-6.105
'0:00.176',-6.110
'0:00.180',-6.105
'0:00.184',-6.110
'0:00.188',-6.110
'0:00.192',-6.105
'0:00.196',-6.105
'0:00.200',-6.110
'0:00.204',-6.105
'0:00.208',-6.105
'0:00.212',-6.105
'0:00.216',-6.100
'0:00.220',-6.105
'0:00.224',-6.100
'0:00.228',-6.105
'0:00.232',-6.110
'0:00.236',-6.110
'0:00.240',-6.110
'0:00.244',-6.105
'0:00.248',-6.105
'0:00.252',-6.105
'0:00.256',-6.105
'0:00.260',-6.100
'0:00.264',-6.100
'0:00.268',-6.095
'0:00.272',-6.095
'0:00.276',-6.100
'0:00.280',-6.100
'0:00.284',-6.100
'0:00.288',-6.100
'0:00.292',-6.100
'0:00.296',-6.100
'0:00.300',-6.105
'0:00.304',-6.100
'0:00.308',-6.100
'0:00.312',-6.100
'0:00.316',-6.100
'0:00.320',-6.100
'0:00.324',-6.100
'0:00.328',-6.100
'0:00.332',-6.100
'0:00.336',-6.090
'0:00.340',-6.085
'0:00.344',-6.085
'0:00.348',-6.085
'0:00.352',-6.085
'0:00.356',-6.085
'0:00.360',-6.075
'0:00.364',-6.075
'0:00.368',-6.075
'0:00.372',-6.065
'0:00.376',-6.060
'0:00.380',-6.055
'0:00.384',-6.060
'0:00.388',-6.060
'0:00.392',-6.060
'0:00.396',-6.055
'0:00.400',-6.050
'0:00.404',-6.050
'0:00.408',-6.045
'0:00.412',-6.050
'0:00.416',-6.055
'0:00.420',-6.060
'0:00.424',-6.060
'0:00.428',-6.065
'0:00.432',-6.065
'0:00.436',-6.070
'0:00.440',-6.075
'0:00.444',-6.080
'0:00.448',-6.085
'0:00.452',-6.085
'0:00.456',-6.075
'0:00.460',-6.070
'0:00.464',-6.065
'0:00.468',-6.055
'0:00.472',-6.000
'0:00.476',-5.910
'0:00.480',-5.770
'0:00.484',-5.570
'0:00.488',-5.330
'0:00.492',-5.070
'0:00.496',-4.855
'0:00.500',-4.750
'0:00.504',-4.785
'0:00.508',-4.955
'0:00.512',-5.230
'0:00.516',-5.565
'0:00.520',-5.855
'0:00.524',-6.030
'0:00.528',-6.130
'0:00.532',-6.175
'0:00.536',-6.190
'0:00.540',-6.185
'0:00.544',-6.170
'0:00.548',-6.145
'0:00.552',-6.135
'0:00.556',-6.125
'0:00.560',-6.125
'0:00.564',-6.135
'0:00.568',-6.140
'0:00.572',-6.145
'0:00.576',-6.145
'0:00.580',-6.145
'0:00.584',-6.140
'0:00.588',-6.140
'0:00.592',-6.145
'0:00.596',-6.140
'0:00.600',-6.145
'0:00.604',-6.140
'0:00.608',-6.140
'0:00.612',-6.140
'0:00.616',-6.145
'0:00.620',-6.150
'0:00.624',-6.150
'0:00.628',-6.145
'0:00.632',-6.145
'0:00.636',-6.145
'0:00.640',-6.140
'0:00.644',-6.135
'0:00.648',-6.135
'0:00.652',-6.140
'0:00.656',-6.145
'0:00.660',-6.135
'0:00.664',-6.135
'0:00.668',-6.130
'0:00.672',-6.125
'0:00.676',-6.120
'0:00.680',-6.115
'0:00.684',-6.110
'0:00.688',-6.115
'0:00.692',-6.110
'0:00.696',-6.110
'0:00.700',-6.100
'0:00.704',-6.090
'0:00.708',-6.090
'0:00.712',-6.085
'0:00.716',-6.080
'0:00.720',-6.080
'0:00.724',-6.075
'0:00.728',-6.065
'0:00.732',-6.060
'0:00.736',-6.060
'0:00.740',-6.055
'0:00.744',-6.050
'0:00.748',-6.045
'0:00.752',-6.040
'0:00.756',-6.040
'0:00.760',-6.040
'0:00.764',-6.045
'0:00.768',-6.040
'0:00.772',-6.035
'0:00.776',-6.040
'0:00.780',-6.045
'0:00.784',-6.045
'0:00.788',-6.045
'0:00.792',-6.045
'0:00.796',-6.040
'0:00.800',-6.040
'0:00.804',-6.040
'0:00.808',-6.040
'0:00.812',-6.040
'0:00.816',-6.040
'0:00.820',-6.045
'0:00.824',-6.050
'0:00.828',-6.045
'0:00.832',-6.045
'0:00.836',-6.045
'0:00.840',-6.050
'0:00.844',-6.055
'0:00.848',-6.060
'0:00.852',-6.060
'0:00.856',-6.060
'0:00.860',-6.060
'0:00.864',-6.065
'0:00.868',-6.065
'0:00.872',-6.065
'0:00.876',-6.070
'0:00.880',-6.065
'0:00.884',-6.065
'0:00.888',-6.065
'0:00.892',-6.065
'0:00.896',-6.065
'0:00.900',-6.065
'0:00.904',-6.065
'0:00.908',-6.065
'0:00.912',-6.060
'0:00.916',-6.060
'0:00.920',-6.060
'0:00.924',-6.065
'0:00.928',-6.065
'0:00.932',-6.060
'0:00.936',-6.055
'0:00.940',-6.050
'0:00.944',-6.050
'0:00.948',-6.050
'0:00.952',-6.050
'0:00.956',-6.050
'0:00.960',-6.050
'0:00.964',-6.040
'0:00.968',-6.040
'0:00.972',-6.035
'0:00.976',-6.035
'0:00.980',-6.035
'0:00.984',-6.035
'0:00.988',-6.035
'0:00.992',-6.040
'0:00.996',-6.035
'0:01.000',-6.035
'0:01.004',-6.030
'0:01.008',-6.030
'0:01.012',-6.035
'0:01.016',-6.035
'0:01.020',-6.030
'0:01.024',-6.030
'0:01.028',-6.035
'0:01.032',-6.040
'0:01.036',-6.040
'0:01.040',-6.035
'0:01.044',-6.040
'0:01.048',-6.040
'0:01.052',-6.045
'0:01.056',-6.045
'0:01.060',-6.050
'0:01.064',-6.050
'0:01.068',-6.050
'0:01.072',-6.050
'0:01.076',-6.055
'0:01.080',-6.060
'0:01.084',-6.055
'0:01.088',-6.060
'0:01.092',-6.060
'0:01.096',-6.060
'0:01.100',-6.065
'0:01.104',-6.065
'0:01.108',-6.065
'0:01.112',-6.060
'0:01.116',-6.065
'0:01.120',-6.065
'0:01.124',-6.065
'0:01.128',-6.060
'0:01.132',-6.060
'0:01.136',-6.065
'0:01.140',-6.065
'0:01.144',-6.060
'0:01.148',-6.065
'0:01.152',-6.065
'0:01.156',-6.065
'0:01.160',-6.065
'0:01.164',-6.065
'0:01.168',-6.065
'0:01.172',-6.065
'0:01.176',-6.065
'0:01.180',-6.075
'0:01.184',-6.065
'0:01.188',-6.065
'0:01.192',-6.060
'0:01.196',-6.060
'0:01.200',-6.065
'0:01.204',-6.065
'0:01.208',-6.065
'0:01.212',-6.065
'0:01.216',-6.060
'0:01.220',-6.060
'0:01.224',-6.060
'0:01.228',-6.060
'0:01.232',-6.060
'0:01.236',-6.065
'0:01.240',-6.065
'0:01.244',-6.065
'0:01.248',-6.060
'0:01.252',-6.055
'0:01.256',-6.060
'0:01.260',-6.055
'0:01.264',-6.060
'0:01.268',-6.065
'0:01.272',-6.060
'0:01.276',-6.065
'0:01.280',-6.050
'0:01.284',-6.055
'0:01.288',-6.060
'0:01.292',-6.055
'0:01.296',-6.060
'0:01.300',-6.060
'0:01.304',-6.050
'0:01.308',-6.050
'0:01.312',-6.055
'0:01.316',-6.050
'0:01.320',-6.050
'0:01.324',-6.055
'0:01.328',-6.055
'0:01.332',-6.055
'0:01.336',-6.055
'0:01.340',-6.055
'0:01.344',-6.050
'0:01.348',-6.060
'0:01.352',-6.050
'0:01.356',-6.055
'0:01.360',-6.050
'0:01.364',-6.050
'0:01.368',-6.060
'0:01.372',-6.050
'0:01.376',-6.050
'0:01.380',-6.050
'0:01.384',-6.050
'0:01.388',-6.055
'0:01.392',-6.055
'0:01.396',-6.055
'0:01.400',-6.050
'0:01.404',-6.045
'0:01.408',-6.045
'0:01.412',-6.040
'0:01.416',-6.040
'0:01.420',-6.035
'0:01.424',-6.035
'0:01.428',-6.035
'0:01.432',-6.025
'0:01.436',-6.025
'0:01.440',-6.020
'0:01.444',-6.015
'0:01.448',-6.015
'0:01.452',-6.015
