'Elapsed time','V4'
'hh:mm:ss.mmm','mV'
'0:00.000',-4.470
'0:00.004',-4.470
'0:00.008',-4.455
'0:00.012',-4.435
'0:00.016',-4.425
'0:00.020',-4.450
'0:00.024',-4.450
'0:00.028',-4.435
'0:00.032',-4.420
'0:00.036',-4.425
'0:00.040',-4.410
'0:00.044',-4.380
'0:00.048',-4.375
'0:00.052',-4.395
'0:00.056',-4.420
'0:00.060',-4.440
'0:00.064',-4.460
'0:00.068',-4.450
'0:00.072',-4.420
'0:00.076',-4.405
'0:00.080',-4.395
'0:00.084',-4.405
'0:00.088',-4.425
'0:00.092',-4.425
'0:00.096',-4.415
'0:00.100',-4.405
'0:00.104',-4.405
'0:00.108',-4.390
'0:00.112',-4.375
'0:00.116',-4.390
'0:00.120',-4.410
'0:00.124',-4.440
'0:00.128',-4.425
'0:00.132',-4.425
'0:00.136',-4.405
'0:00.140',-4.385
'0:00.144',-4.390
'0:00.148',-4.405
'0:00.152',-4.405
'0:00.156',-4.405
'0:00.160',-4.400
'0:00.164',-4.385
'0:00.168',-4.375
'0:00.172',-4.390
'0:00.176',-4.410
'0:00.180',-4.405
'0:00.184',-4.390
'0:00.188',-4.375
'0:00.192',-4.390
'0:00.196',-4.400
'0:00.200',-4.390
'0:00.204',-4.390
'0:00.208',-4.395
'0:00.212',-4.375
'0:00.216',-4.380
'0:00.220',-4.400
'0:00.224',-4.420
'0:00.228',-4.395
'0:00.232',-4.365
'0:00.236',-4.380
'0:00.240',-4.390
'0:00.244',-4.375
'0:00.248',-4.365
'0:00.252',-4.360
'0:00.256',-4.355
'0:00.260',-4.375
'0:00.264',-4.390
'0:00.268',-4.355
'0:00.272',-4.265
'0:00.276',-4.195
'0:00.280',-4.205
'0:00.284',-4.245
'0:00.288',-4.290
'0:00.292',-4.310
'0:00.296',-4.305
'0:00.300',-4.310
'0:00.304',-4.325
'0:00.308',-4.330
'0:00.312',-4.335
'0:00.316',-4.330
'0:00.320',-4.295
'0:00.324',-4.305
'0:00.328',-4.330
'0:00.332',-4.375
'0:00.336',-4.405
'0:00.340',-4.435
'0:00.344',-4.455
'0:00.348',-4.450
'0:00.352',-4.455
'0:00.356',-4.445
'0:00.360',-4.440
'0:00.364',-4.460
'0:00.368',-4.435
'0:00.372',-4.410
'0:00.376',-4.425
'0:00.380',-4.460
'0:00.384',-4.500
'0:00.388',-4.530
'0:00.392',-4.550
'0:00.396',-4.595
'0:00.400',-4.690
'0:00.404',-4.825
'0:00.408',-4.935
'0:00.412',-4.950
'0:00.416',-4.845
'0:00.420',-4.605
'0:00.424',-4.265
'0:00.428',-3.870
'0:00.432',-3.495
'0:00.436',-3.225
'0:00.440',-3.030
'0:00.444',-2.925
'0:00.448',-2.870
'0:00.452',-2.930
'0:00.456',-3.210
'0:00.460',-3.705
'0:00.464',-4.150
'0:00.468',-4.425
'0:00.472',-4.555
'0:00.476',-4.635
'0:00.480',-4.660
'0:00.484',-4.650
'0:00.488',-4.630
'0:00.492',-4.575
'0:00.496',-4.530
'0:00.500',-4.505
'0:00.504',-4.495
'0:00.508',-4.510
'0:00.512',-4.530
'0:00.516',-4.565
'0:00.520',-4.575
'0:00.524',-4.590
'0:00.528',-4.580
'0:00.532',-4.565
'0:00.536',-4.555
'0:00.540',-4.580
'0:00.544',-4.595
'0:00.548',-4.595
'0:00.552',-4.580
'0:00.556',-4.550
'0:00.560',-4.540
'0:00.564',-4.545
'0:00.568',-4.560
'0:00.572',-4.570
'0:00.576',-4.590
'0:00.580',-4.585
'0:00.584',-4.575
'0:00.588',-4.590
'0:00.592',-4.610
'0:00.596',-4.610
'0:00.600',-4.590
'0:00.604',-4.585
'0:00.608',-4.580
'0:00.612',-4.570
'0:00.616',-4.565
'0:00.620',-4.555
'0:00.624',-4.590
'0:00.628',-4.620
'0:00.632',-4.595
'0:00.636',-4.565
'0:00.640',-4.565
'0:00.644',-4.580
'0:00.648',-4.585
'0:00.652',-4.555
'0:00.656',-4.515
'0:00.660',-4.505
'0:00.664',-4.535
'0:00.668',-4.570
'0:00.672',-4.595
'0:00.676',-4.585
'0:00.680',-4.570
'0:00.684',-4.555
'0:00.688',-4.535
'0:00.692',-4.520
'0:00.696',-4.510
'0:00.700',-4.475
'0:00.704',-4.450
'0:00.708',-4.465
'0:00.712',-4.480
'0:00.716',-4.460
'0:00.720',-4.430
'0:00.724',-4.405
'0:00.728',-4.395
'0:00.732',-4.395
'0:00.736',-4.395
'0:00.740',-4.390
'0:00.744',-4.380
'0:00.748',-4.350
'0:00.752',-4.325
'0:00.756',-4.300
'0:00.760',-4.285
'0:00.764',-4.270
'0:00.768',-4.255
'0:00.772',-4.255
'0:00.776',-4.250
'0:00.780',-4.220
'0:00.784',-4.190
'0:00.788',-4.170
'0:00.792',-4.145
'0:00.796',-4.125
'0:00.800',-4.115
'0:00.804',-4.120
'0:00.808',-4.130
'0:00.812',-4.130
'0:00.816',-4.115
'0:00.820',-4.095
'0:00.824',-4.105
'0:00.828',-4.110
'0:00.832',-4.125
'0:00.836',-4.140
'0:00.840',-4.150
'0:00.844',-4.150
'0:00.848',-4.155
'0:00.852',-4.180
'0:00.856',-4.195
'0:00.860',-4.205
'0:00.864',-4.205
'0:00.868',-4.195
'0:00.872',-4.195
'0:00.876',-4.215
'0:00.880',-4.230
'0:00.884',-4.250
'0:00.888',-4.265
'0:00.892',-4.265
'0:00.896',-4.265
'0:00.900',-4.260
'0:00.904',-4.250
'0:00.908',-4.240
'0:00.912',-4.245
'0:00.916',-4.250
'0:00.920',-4.285
'0:00.924',-4.295
'0:00.928',-4.250
'0:00.932',-4.220
'0:00.936',-4.215
'0:00.940',-4.235
'0:00.944',-4.260
'0:00.948',-4.295
'0:00.952',-4.300
'0:00.956',-4.270
'0:00.960',-4.235
'0:00.964',-4.230
'0:00.968',-4.245
'0:00.972',-4.265
'0:00.976',-4.265
'0:00.980',-4.255
'0:00.984',-4.240
'0:00.988',-4.230
'0:00.992',-4.220
'0:00.996',-4.225
'0:01.000',-4.255
'0:01.004',-4.270
'0:01.008',-4.260
'0:01.012',-4.240
'0:01.016',-4.240
'0:01.020',-4.235
'0:01.024',-4.235
'0:01.028',-4.245
'0:01.032',-4.245
'0:01.036',-4.250
'0:01.040',-4.250
'0:01.044',-4.235
'0:01.048',-4.225
'0:01.052',-4.215
'0:01.056',-4.220
'0:01.060',-4.230
'0:01.064',-4.250
'0:01.068',-4.275
'0:01.072',-4.270
'0:01.076',-4.265
'0:01.080',-4.275
'0:01.084',-4.275
'0:01.088',-4.265
'0:01.092',-4.270
'0:01.096',-4.285
'0:01.100',-4.285
'0:01.104',-4.280
'0:01.108',-4.270
'0:01.112',-4.275
'0:01.116',-4.285
'0:01.120',-4.285
'0:01.124',-4.265
'0:01.128',-4.240
'0:01.132',-4.250
'0:01.136',-4.285
'0:01.140',-4.320
'0:01.144',-4.345
'0:01.148',-4.325
'0:01.152',-4.300
'0:01.156',-4.285
'0:01.160',-4.285
'0:01.164',-4.300
'0:01.168',-4.330
'0:01.172',-4.340
'0:01.176',-4.305
'0:01.180',-4.275
'0:01.184',-4.270
'0:01.188',-4.285
'0:01.192',-4.310
'0:01.196',-4.305
'0:01.200',-4.295
'0:01.204',-4.300
'0:01.208',-4.305
'0:01.212',-4.310
'0:01.216',-4.295
'0:01.220',-4.300
'0:01.224',-4.315
'0:01.228',-4.310
'0:01.232',-4.300
'0:01.236',-4.285
'0:01.240',-4.295
'0:01.244',-4.310
'0:01.248',-4.310
'0:01.252',-4.310
'0:01.256',-4.300
'0:01.260',-4.290
'0:01.264',-4.330
'0:01.268',-4.370
'0:01.272',-4.365
'0:01.276',-4.325
'0:01.280',-4.310
'0:01.284',-4.315
'0:01.288',-4.345
'0:01.292',-4.350
'0:01.296',-4.330
'0:01.300',-4.310
'0:01.304',-4.315
'0:01.308',-4.325
'0:01.312',-4.325
'0:01.316',-4.310
'0:01.320',-4.295
'0:01.324',-4.285
'0:01.328',-4.285
'0:01.332',-4.310
'0:01.336',-4.330
'0:01.340',-4.325
'0:01.344',-4.305
'0:01.348',-4.300
'0:01.352',-4.305
'0:01.356',-4.300
'0:01.360',-4.325
'0:01.364',-4.340
'0:01.368',-4.340
'0:01.372',-4.345
'0:01.376',-4.355
'0:01.380',-4.350
'0:01.384',-4.320
'0:01.388',-4.305
'0:01.392',-4.310
'0:01.396',-4.320
'0:01.400',-4.315
'0:01.404',-4.305
'0:01.408',-4.310
'0:01.412',-4.325
'0:01.416',-4.350
'0:01.420',-4.365
'0:01.424',-4.345
'0:01.428',-4.330
'0:01.432',-4.330
'0:01.436',-4.330
'0:01.440',-4.335
'0:01.444',-4.330
'0:01.448',-4.335
'0:01.452',-4.350
'0:01.456',-4.345
'0:01.460',-4.325
'0:01.464',-4.305
'0:01.468',-4.310
'0:01.472',-4.325
'0:01.476',-4.315
'0:01.480',-4.310
'0:01.484',-4.310
'0:01.488',-4.330
'0:01.492',-4.330
'0:01.496',-4.300
'0:01.500',-4.255
'0:01.504',-4.210
'0:01.508',-4.180
'0:01.512',-4.170
'0:01.516',-4.190
'0:01.520',-4.230
'0:01.524',-4.275
'0:01.528',-4.305
'0:01.532',-4.305
'0:01.536',-4.305
'0:01.540',-4.300
'0:01.544',-4.310
'0:01.548',-4.315
'0:01.552',-4.330
'0:01.556',-4.370
'0:01.560',-4.375
'0:01.564',-4.360
'0:01.568',-4.375
'0:01.572',-4.395
