'Elapsed time','MLIII'
'hh:mm:ss.mmm','mV'
'0:00.000',2.330
'0:00.004',2.310
'0:00.008',2.300
'0:00.012',2.275
'0:00.016',2.290
'0:00.020',2.330
'0:00.024',2.340
'0:00.028',2.340
'0:00.032',2.330
'0:00.036',2.325
'0:00.040',2.330
'0:00.044',2.365
'0:00.048',2.355
'0:00.052',2.340
'0:00.056',2.315
'0:00.060',2.310
'0:00.064',2.310
'0:00.068',2.300
'0:00.072',2.335
'0:00.076',2.350
'0:00.080',2.350
'0:00.084',2.350
'0:00.088',2.330
'0:00.092',2.320
'0:00.096',2.315
'0:00.100',2.340
'0:00.104',2.370
'0:00.108',2.350
'0:00.112',2.330
'0:00.116',2.330
'0:00.120',2.330
'0:00.124',2.350
'0:00.128',2.375
'0:00.132',2.370
'0:00.136',2.370
'0:00.140',2.365
'0:00.144',2.365
'0:00.148',2.350
'0:00.152',2.325
'0:00.156',2.315
'0:00.160',2.330
'0:00.164',2.350
'0:00.168',2.370
'0:00.172',2.350
'0:00.176',2.355
'0:00.180',2.340
'0:00.184',2.330
'0:00.188',2.325
'0:00.192',2.345
'0:00.196',2.370
'0:00.200',2.365
'0:00.204',2.350
'0:00.208',2.330
'0:00.212',2.330
'0:00.216',2.340
'0:00.220',2.355
'0:00.224',2.365
'0:00.228',2.350
'0:00.232',2.350
'0:00.236',2.350
'0:00.240',2.365
'0:00.244',2.410
'0:00.248',2.410
'0:00.252',2.380
'0:00.256',2.370
'0:00.260',2.390
'0:00.264',2.415
'0:00.268',2.445
'0:00.272',2.510
'0:00.276',2.555
'0:00.280',2.575
'0:00.284',2.640
'0:00.288',2.675
'0:00.292',2.675
'0:00.296',2.670
'0:00.300',2.650
'0:00.304',2.620
'0:00.308',2.595
'0:00.312',2.575
'0:00.316',2.560
'0:00.320',2.575
'0:00.324',2.570
'0:00.328',2.570
'0:00.332',2.595
'0:00.336',2.605
'0:00.340',2.565
'0:00.344',2.490
'0:00.348',2.470
'0:00.352',2.445
'0:00.356',2.395
'0:00.360',2.350
'0:00.364',2.310
'0:00.368',2.285
'0:00.372',2.260
'0:00.376',2.235
'0:00.380',2.220
'0:00.384',2.245
'0:00.388',2.275
'0:00.392',2.250
'0:00.396',2.225
'0:00.400',2.230
'0:00.404',2.225
'0:00.408',2.225
'0:00.412',2.220
'0:00.416',2.215
'0:00.420',2.190
'0:00.424',2.155
'0:00.428',2.060
'0:00.432',2.010
'0:00.436',2.020
'0:00.440',2.050
'0:00.444',2.110
'0:00.448',2.255
'0:00.452',2.590
'0:00.456',3.080
'0:00.460',3.585
'0:00.464',3.950
'0:00.468',4.240
'0:00.472',4.285
'0:00.476',3.950
'0:00.480',3.350
'0:00.484',2.830
'0:00.488',2.275
'0:00.492',1.905
'0:00.496',1.660
'0:00.500',1.590
'0:00.504',1.635
'0:00.508',1.660
'0:00.512',1.675
'0:00.516',1.740
'0:00.520',1.820
'0:00.524',1.900
'0:00.528',1.955
'0:00.532',1.965
'0:00.536',1.975
'0:00.540',2.010
'0:00.544',2.035
