'Elapsed time','V4'
'hh:mm:ss.mmm','mV'
'0:00.000',-2.195
'0:00.004',-2.200
'0:00.008',-2.195
'0:00.012',-2.190
'0:00.016',-2.195
'0:00.020',-2.195
'0:00.024',-2.200
'0:00.028',-2.200
'0:00.032',-2.200
'0:00.036',-2.200
'0:00.040',-2.200
'0:00.044',-2.195
'0:00.048',-2.200
'0:00.052',-2.195
'0:00.056',-2.205
'0:00.060',-2.200
'0:00.064',-2.200
'0:00.068',-2.200
'0:00.072',-2.200
'0:00.076',-2.210
'0:00.080',-2.205
'0:00.084',-2.200
'0:00.088',-2.200
'0:00.092',-2.210
'0:00.096',-2.210
'0:00.100',-2.230
'0:00.104',-2.215
'0:00.108',-2.215
'0:00.112',-2.210
'0:00.116',-2.215
'0:00.120',-2.220
'0:00.124',-2.220
'0:00.128',-2.220
'0:00.132',-2.215
'0:00.136',-2.215
'0:00.140',-2.215
'0:00.144',-2.215
'0:00.148',-2.200
'0:00.152',-2.190
'0:00.156',-2.185
'0:00.160',-2.170
'0:00.164',-2.145
'0:00.168',-2.135
'0:00.172',-2.140
'0:00.176',-2.155
'0:00.180',-2.165
'0:00.184',-2.135
'0:00.188',-2.110
'0:00.192',-2.100
'0:00.196',-2.105
'0:00.200',-2.130
'0:00.204',-2.170
'0:00.208',-2.195
'0:00.212',-2.200
'0:00.216',-2.210
'0:00.220',-2.205
'0:00.224',-2.200
'0:00.228',-2.230
'0:00.232',-2.230
'0:00.236',-2.245
'0:00.240',-2.250
'0:00.244',-2.250
'0:00.248',-2.240
'0:00.252',-2.230
'0:00.256',-2.230
'0:00.260',-2.215
'0:00.264',-2.215
'0:00.268',-2.215
'0:00.272',-2.210
'0:00.276',-2.200
'0:00.280',-2.170
'0:00.284',-2.135
'0:00.288',-2.055
'0:00.292',-1.945
'0:00.296',-1.755
'0:00.300',-1.550
'0:00.304',-1.365
'0:00.308',-1.145
'0:00.312',-0.955
'0:00.316',-0.890
'0:00.320',-1.050
'0:00.324',-1.385
'0:00.328',-1.740
'0:00.332',-2.040
'0:00.336',-2.250
'0:00.340',-2.335
'0:00.344',-2.350
'0:00.348',-2.315
'0:00.352',-2.290
'0:00.356',-2.280
'0:00.360',-2.280
'0:00.364',-2.285
'0:00.368',-2.280
'0:00.372',-2.280
'0:00.376',-2.275
'0:00.380',-2.275
'0:00.384',-2.275
'0:00.388',-2.270
'0:00.392',-2.275
'0:00.396',-2.270
'0:00.400',-2.275
'0:00.404',-2.275
'0:00.408',-2.270
'0:00.412',-2.275
'0:00.416',-2.270
'0:00.420',-2.280
'0:00.424',-2.270
'0:00.428',-2.265
'0:00.432',-2.260
'0:00.436',-2.260
'0:00.440',-2.265
'0:00.444',-2.260
'0:00.448',-2.250
'0:00.452',-2.245
'0:00.456',-2.240
'0:00.460',-2.230
'0:00.464',-2.230
'0:00.468',-2.225
'0:00.472',-2.210
'0:00.476',-2.200
'0:00.480',-2.175
'0:00.484',-2.165
'0:00.488',-2.150
'0:00.492',-2.145
'0:00.496',-2.125
'0:00.500',-2.100
'0:00.504',-2.085
'0:00.508',-2.070
'0:00.512',-2.045
'0:00.516',-2.020
'0:00.520',-1.995
'0:00.524',-1.965
'0:00.528',-1.945
'0:00.532',-1.920
'0:00.536',-1.900
'0:00.540',-1.870
'0:00.544',-1.855
'0:00.548',-1.840
'0:00.552',-1.825
'0:00.556',-1.830
'0:00.560',-1.815
'0:00.564',-1.810
'0:00.568',-1.800
'0:00.572',-1.805
'0:00.576',-1.805
'0:00.580',-1.815
'0:00.584',-1.830
'0:00.588',-1.850
'0:00.592',-1.875
'0:00.596',-1.905
'0:00.600',-1.930
'0:00.604',-1.965
'0:00.608',-1.995
'0:00.612',-2.025
'0:00.616',-2.050
'0:00.620',-2.065
'0:00.624',-2.070
'0:00.628',-2.115
'0:00.632',-2.135
'0:00.636',-2.150
'0:00.640',-2.170
'0:00.644',-2.200
'0:00.648',-2.210
'0:00.652',-2.210
'0:00.656',-2.215
'0:00.660',-2.215
'0:00.664',-2.230
'0:00.668',-2.230
'0:00.672',-2.230
'0:00.676',-2.230
'0:00.680',-2.230
'0:00.684',-2.230
'0:00.688',-2.230
'0:00.692',-2.230
'0:00.696',-2.235
'0:00.700',-2.230
'0:00.704',-2.215
'0:00.708',-2.215
'0:00.712',-2.215
'0:00.716',-2.215
'0:00.720',-2.220
'0:00.724',-2.210
'0:00.728',-2.215
'0:00.732',-2.210
'0:00.736',-2.200
'0:00.740',-2.200
'0:00.744',-2.195
'0:00.748',-2.200
'0:00.752',-2.200
'0:00.756',-2.200
'0:00.760',-2.200
'0:00.764',-2.205
'0:00.768',-2.200
'0:00.772',-2.200
'0:00.776',-2.210
'0:00.780',-2.210
'0:00.784',-2.210
'0:00.788',-2.200
'0:00.792',-2.200
'0:00.796',-2.200
'0:00.800',-2.215
'0:00.804',-2.215
'0:00.808',-2.220
'0:00.812',-2.230
'0:00.816',-2.215
'0:00.820',-2.210
'0:00.824',-2.215
'0:00.828',-2.220
'0:00.832',-2.240
'0:00.836',-2.230
'0:00.840',-2.240
'0:00.844',-2.235
'0:00.848',-2.235
'0:00.852',-2.245
'0:00.856',-2.240
'0:00.860',-2.250
'0:00.864',-2.250
'0:00.868',-2.245
'0:00.872',-2.240
'0:00.876',-2.235
'0:00.880',-2.245
'0:00.884',-2.245
'0:00.888',-2.240
'0:00.892',-2.245
'0:00.896',-2.245
'0:00.900',-2.250
'0:00.904',-2.250
'0:00.908',-2.250
'0:00.912',-2.250
'0:00.916',-2.245
'0:00.920',-2.230
'0:00.924',-2.230
'0:00.928',-2.240
'0:00.932',-2.240
'0:00.936',-2.260
'0:00.940',-2.270
'0:00.944',-2.265
'0:00.948',-2.270
'0:00.952',-2.260
'0:00.956',-2.265
'0:00.960',-2.270
'0:00.964',-2.270
'0:00.968',-2.270
'0:00.972',-2.265
'0:00.976',-2.270
'0:00.980',-2.280
'0:00.984',-2.265
'0:00.988',-2.265
'0:00.992',-2.265
'0:00.996',-2.260
'0:01.000',-2.270
'0:01.004',-2.255
'0:01.008',-2.250
'0:01.012',-2.250
'0:01.016',-2.230
'0:01.020',-2.220
'0:01.024',-2.200
'0:01.028',-2.185
'0:01.032',-2.185
'0:01.036',-2.185
'0:01.040',-2.180
'0:01.044',-2.170
'0:01.048',-2.150
'0:01.052',-2.135
'0:01.056',-2.135
'0:01.060',-2.145
'0:01.064',-2.170
'0:01.068',-2.195
'0:01.072',-2.215
'0:01.076',-2.230
'0:01.080',-2.240
'0:01.084',-2.245
'0:01.088',-2.250
'0:01.092',-2.265
