'Elapsed time','ECG I'
'hh:mm:ss.mmm','mV'
'0:00.000',-0.835
'0:00.002',-0.905
'0:00.004',-1.025
'0:00.006',-1.025
'0:00.008',-0.960
'0:00.010',-0.885
'0:00.012',-0.840
'0:00.014',-0.740
'0:00.016',-0.680
'0:00.018',-0.760
'0:00.020',-0.950
'0:00.022',-0.920
'0:00.024',-0.995
'0:00.026',-1.045
'0:00.028',-0.930
'0:00.030',-0.940
'0:00.032',-0.730
'0:00.034',-0.685
'0:00.036',-0.815
'0:00.038',-0.805
'0:00.040',-0.915
'0:00.042',-0.940
'0:00.044',-1.080
'0:00.046',-0.955
'0:00.048',-0.980
'0:00.050',-0.990
'0:00.052',-0.835
'0:00.054',-0.655
'0:00.056',-0.695
'0:00.058',-0.870
'0:00.060',-0.935
'0:00.062',-1.000
'0:00.064',-1.045
'0:00.066',-1.015
'0:00.068',-0.950
'0:00.070',-0.905
'0:00.072',-0.750
'0:00.074',-0.785
'0:00.076',-0.810
'0:00.078',-0.785
'0:00.080',-0.915
'0:00.082',-0.970
'0:00.084',-1.045
'0:00.086',-1.055
'0:00.088',-1.045
'0:00.090',-0.945
'0:00.092',-0.800
'0:00.094',-0.750
'0:00.096',-0.770
'0:00.098',-0.835
'0:00.100',-0.975
'0:00.102',-1.065
'0:00.104',-1.105
'0:00.106',-0.995
'0:00.108',-1.005
'0:00.110',-0.895
'0:00.112',-0.915
'0:00.114',-0.860
'0:00.116',-0.865
'0:00.118',-0.810
'0:00.120',-1.010
'0:00.122',-1.105
'0:00.124',-1.145
'0:00.126',-0.975
'0:00.128',-1.000
'0:00.130',-0.895
'0:00.132',-0.830
'0:00.134',-0.835
'0:00.136',-0.895
'0:00.138',-0.870
'0:00.140',-0.945
'0:00.142',-1.105
'0:00.144',-1.000
'0:00.146',-1.095
'0:00.148',-1.095
'0:00.150',-0.985
'0:00.152',-0.795
'0:00.154',-0.750
'0:00.156',-1.010
'0:00.158',-0.990
'0:00.160',-0.885
'0:00.162',-1.055
'0:00.164',-1.060
'0:00.166',-1.075
'0:00.168',-0.975
'0:00.170',-0.860
'0:00.172',-0.980
'0:00.174',-0.895
'0:00.176',-0.890
'0:00.178',-0.930
'0:00.180',-0.990
'0:00.182',-1.110
'0:00.184',-1.185
'0:00.186',-1.130
'0:00.188',-1.140
'0:00.190',-0.920
'0:00.192',-0.730
'0:00.194',-0.790
'0:00.196',-0.840
'0:00.198',-0.940
'0:00.200',-1.045
'0:00.202',-1.065
'0:00.204',-1.100
'0:00.206',-1.075
'0:00.208',-1.045
'0:00.210',-0.895
'0:00.212',-0.885
'0:00.214',-0.870
'0:00.216',-0.895
'0:00.218',-0.960
'0:00.220',-1.010
'0:00.222',-1.080
'0:00.224',-1.100
'0:00.226',-1.035
'0:00.228',-0.985
'0:00.230',-0.915
'0:00.232',-0.920
'0:00.234',-0.870
'0:00.236',-0.825
'0:00.238',-0.990
'0:00.240',-1.125
'0:00.242',-1.065
'0:00.244',-1.140
'0:00.246',-1.110
'0:00.248',-1.010
'0:00.250',-0.905
'0:00.252',-0.810
'0:00.254',-0.795
'0:00.256',-0.855
'0:00.258',-0.890
'0:00.260',-1.040
'0:00.262',-1.135
'0:00.264',-1.020
'0:00.266',-1.040
'0:00.268',-0.970
'0:00.270',-0.905
'0:00.272',-0.795
'0:00.274',-0.750
'0:00.276',-0.885
'0:00.278',-1.045
'0:00.280',-1.050
'0:00.282',-0.985
'0:00.284',-1.120
'0:00.286',-1.095
'0:00.288',-0.975
'0:00.290',-0.905
'0:00.292',-0.885
'0:00.294',-0.840
'0:00.296',-0.925
'0:00.298',-0.965
'0:00.300',-1.045
'0:00.302',-1.205
'0:00.304',-1.185
'0:00.306',-1.090
'0:00.308',-1.030
'0:00.310',-0.875
'0:00.312',-0.865
'0:00.314',-0.930
'0:00.316',-0.945
'0:00.318',-0.965
'0:00.320',-1.105
'0:00.322',-1.210
'0:00.324',-1.155
'0:00.326',-1.105
'0:00.328',-1.055
'0:00.330',-0.970
'0:00.332',-0.870
'0:00.334',-0.960
'0:00.336',-0.940
'0:00.338',-0.995
'0:00.340',-1.155
'0:00.342',-1.155
'0:00.344',-1.200
'0:00.346',-1.185
'0:00.348',-1.015
'0:00.350',-0.920
'0:00.352',-0.865
'0:00.354',-0.975
'0:00.356',-1.000
'0:00.358',-0.985
